기간	자치구	원수	학급수	원아수	원아수	원아수	교원수	교원수	교원수	사무직원수	사무직원수	사무직원수	신입원아수	신입원아수	신입원아수	졸업원아수	졸업원아수	졸업원아수	교실수
기간	자치구	원수	학급수	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	교실수
2020	서울시	795	4,102	74,657	37,956	36,701	6,517	82	6,435	665	243	422	34,183	17,499	16,684	27,493	13,958	13,535	3,594
2020	종로구	17	64	1,180	592	588	101	3	98	9	-	9	473	246	227	454	231	223	60
2020	중구	14	72	1,038	549	489	97	1	96	9	4	5	446	231	215	412	209	203	59
2020	용산구	13	65	1,344	715	629	115	1	114	8	1	7	561	296	265	447	234	213	62
2020	성동구	28	111	2,110	1,090	1,020	175	1	174	20	6	14	1,036	542	494	789	403	386	91
2020	광진구	31	125	2,470	1,277	1,193	219	6	213	22	9	13	1,077	567	510	922	456	466	107
2020	동대문구	29	161	2,849	1,465	1,384	245	6	239	29	10	19	1,166	593	573	1,032	556	476	145
2020	중랑구	29	154	2,700	1,331	1,369	251	-	251	14	6	8	1,165	581	584	1,087	546	541	133
2020	성북구	47	234	4,346	2,222	2,124	392	-	392	44	17	27	1,954	977	977	1,600	771	829	190
2020	강북구	18	90	1,244	616	628	119	2	117	8	5	3	520	266	254	554	279	275	76
2020	도봉구	24	120	2,252	1,182	1,070	210	2	208	17	8	9	1,007	538	469	770	403	367	119
2020	노원구	62	337	5,872	3,004	2,868	506	8	498	52	20	32	2,413	1,242	1,171	2,095	1,092	1,003	334
2020	은평구	42	219	3,551	1,768	1,783	298	2	296	36	13	23	1,885	917	968	1,460	753	707	205
2020	서대문구	23	114	2,371	1,194	1,177	197	3	194	23	8	15	1,069	531	538	883	435	448	101
2020	마포구	25	143	2,784	1,437	1,347	232	6	226	30	6	24	1,503	788	715	910	453	457	106
2020	양천구	39	223	4,150	2,091	2,059	363	8	355	33	15	18	1,852	936	916	1,511	768	743	194
2020	강서구	54	295	5,375	2,687	2,688	466	6	460	52	23	29	2,372	1,235	1,137	1,941	962	979	282
2020	구로구	32	155	2,905	1,476	1,429	253	1	252	29	15	14	1,298	668	630	1,081	567	514	126
2020	금천구	18	100	1,550	755	795	139	3	136	15	4	11	665	330	335	527	262	265	77
2020	영등포구	37	178	3,410	1,741	1,669	308	5	303	23	6	17	1,610	815	795	1,172	618	554	149
2020	동작구	32	152	2,846	1,429	1,417	248	2	246	28	9	19	1,261	627	634	1,081	544	537	143
2020	관악구	33	196	2,991	1,514	1,477	268	4	264	29	10	19	1,380	683	697	1,081	539	542	155
2020	서초구	26	137	2,467	1,254	1,213	219	1	218	25	8	17	1,237	625	612	978	493	485	114
2020	강남구	37	181	3,260	1,652	1,608	312	-	312	34	10	24	1,432	744	688	1,311	690	621	138
2020	송파구	50	268	5,355	2,720	2,635	474	6	468	47	19	28	2,703	1,421	1,282	1,974	985	989	253
2020	강동구	35	208	4,237	2,195	2,042	310	5	305	29	11	18	2,098	1,100	998	1,421	709	712	175
