,어린이집명,주소,위도,경도
0,e편한세상어린이집,"전라북도 전주시 완산구 여울로 161 관리동(서신동, e편한세상)",35.8395302,127.1069101
1,NPS국민연금어린이집,전라북도 전주시 덕진구 기지로 180,35.83766110000001,127.0717575
2,SK뷰 생글어린이집,"전라북도 전주시 완산구 태평2길 22 관리동(태평동, 태평SKVIEW)",35.824693,127.1395013
3,가나어린이집,전라북도 전주시 덕진구 안덕원1길 41 (우아동3가),35.8398375,127.1658511
4,가람어린이집,전라북도 전주시 완산구 정동길 1-8 (삼천동2가),35.7824374,127.103326
5,가온길어린이집,전라북도 전주시 덕진구 견훤왕궁로 251 (인후동2가) 1524-29,35.8408856,127.1456392
6,가온어린이집,"전라북도 전주시 덕진구 천마산로 100 109동 103호(송천동1가, 진흥더블파크)",35.863938,127.1323515
7,가은어린이집,"전라북도 전주시 완산구 삼천천변1길 46 관리동(삼천동1가, 흥건삼천1차)",35.7943862,127.1158865
8,개구쟁이어린이집,전라북도 전주시 완산구 하거마4길 16 (삼천동1가),35.7952911,127.1185901
9,거북이어린이집,"전라북도 전주시 덕진구 호성동1가 호성로 40 105동 105호(호성동1가,엘지동아)",35.8554673,127.1518882
10,고감도어린이집,전라북도 전주시 완산구 양지2길 5 (평화동2가),35.7926058,127.1234796
11,고운손가정어린이집,"전라북도 전주시 덕진구 솔내로 142 102동 107호(송천동1가, 송천신일)",35.862437,127.127922
12,고운엄마품어린이집,"전라북도 전주시 완산구 거마평로 109 102동 101호(효자동1가, 제일효자)",35.8015565,127.1149765
13,고운하늘어린이집,"전라북도 전주시 덕진구 무삼지로 32 203동 104호(인후동1가, 인후꿈마을부영2차아파트)",35.829804,127.1648598
14,곤지곤지어린이집,"전라북도 전주시 완산구 평화로 100 213동 104호(평화동2가, 주공그린2단지)",35.7848347,127.1349762
15,골드키즈어린이집,"전라북도 전주시 덕진구 만성로 181 109동 103호(만성동, 골드클래스)",35.8396347,127.0800343
16,골든팰리스어린이집,"전라북도 전주시 완산구 호암로 40 관리동(효자동2가, 골든팰리스휴먼시아)",35.8085729,127.099382
17,광명어린이집,전라북도 전주시 덕진구 솔내7길 39-2,35.8597747,127.1258276
18,광민어린이집,전라북도 전주시 완산구 중산1길 12-4 (중화산동2가),35.81478550000001,127.1194436
19,교동원광어린이집,전라북도 전주시 완산구 오목대길 76 (교동),35.8131835,127.1519883
20,국민연금어린이집,전라북도 전주시 완산구 온고을로 13 (서신동),35.8333833,127.1217053
21,굿모닝어린이집,전라북도 전주시 완산구 소대배기로 18-28 (평화동2가),35.7867493,127.1315803
22,궁전아가어린이집,"전라북도 전주시 덕진구 백동5길 28 나동 201호(인후동2가, 한양운남아파트)",35.848607,127.150083
23,귀염둥이어린이집,"전라북도 전주시 덕진구 송천로 31 101동 103호(송천동1가, 서호1차아파트)",35.85563339999999,127.1180025
24,그린별어린이집,"전라북도 전주시 완산구 영경1길 25 103동 101호(중화산동2가, 우성근영타운)",35.8185824,127.1256694
25,그린어린이집,전라북도 전주시 덕진구 용신길 19-3,35.875744,127.0609937
26,그린예꿈어린이집,"전라북도 전주시 완산구 평화로 100 관리동(평화동2가, 주공그린2단지)",35.7848347,127.1349762
27,그림나라어린이집,전라북도 전주시 덕진구 와룡2길 5 그림나라 어린이집,35.8659793,127.1137886
28,금모래숲속어린이집,"전라북도 전주시 완산구 평화동2가 양지3길 25 103동 101호(평화동2가,평화엠코타운)",35.78946240000001,127.1195726
29,금빛또래어린이집,"전라북도 전주시 완산구 백제대로 31 6동 107호(삼천동1가, 신일)",35.79708660000001,127.1296092
30,금상어린이집,전라북도 전주시 덕진구 삼거2길 4 (금상동),35.8534334,127.1905844
31,금호리베폴어린이집,전라북도 전주시 완산구 효자동1가 효동3길 33 6동 105호(금호아파트),35.803231,127.1304168
32,까르르어린이집,"전라북도 전주시 완산구 양지1길 16-3 101동 101호(평화동2가, 두산푸른솔)",35.7908356,127.1185319
33,꺼야마을어린이집,전라북도 전주시 완산구 중인1길 134-17 (중인동),35.7680992,127.0944041
34,꼬꼬마어린이집,"전라북도 전주시 덕진구 시천로 29-30 104동 101호(송천동1가, 한양)",35.8607886,127.1129141
35,꼬마EQ어린이집,"전라북도 전주시 덕진구 인후동1가 한배미로 5 101동 101호(인후동1가,아중마을아남아파트)",35.8257489,127.1672764
36,꼬마꿈어린이집,전라북도 전주시 완산구 하거마6길 14-4 (삼천동1가),35.7971755,127.1187928
37,꼬마대통령어린이집,"전라북도 전주시 완산구 평화동2가 평화로 95 102동 101호(평화동2가, 호반리젠시빌)",35.78564009999999,127.1323649
38,꼬마들세상 어린이집,"전라북도 전주시 완산구 덕적골1길 14 나동 101호(평화동1가, 극동)",35.7965073,127.1381463
39,꼬마또래어린이집,"전라북도 전주시 완산구 거마평로 125 102동 103호(효자동1가, 상산타운)",35.8032785,127.1151986
40,꼬마또래어린이집,전라북도 전주시 덕진구 백동5길 19 (인후동2가),35.8476717,127.1499043
41,꼬마랑어린이집,"전라북도 전주시 덕진구 한배미로 33 502동 108호(인후동1가, 부영5차아파트)",35.8249157,127.1692207
42,꼬마벼리어린이집,"전라북도 전주시 완산구 새터로 74 103동 108호(서신동, 중흥)",35.834747,127.1146145
43,꼬마별어린이집,"전라북도 전주시 덕진구 반월5길 8 103동 101호(반월동, 삼오아파트)",35.8734719,127.0691055
44,꼬마삐삐어린이집,"전라북도 전주시 완산구 당산로 11 601동 103호(서신동, 서신쌍용)",35.8316841,127.111485
45,꼬마세상어린이집,전라북도 전주시 덕진구 쪽구름로 19 제일아파트 관리동내,35.8604106,127.1155582
46,꼬마숲나라어린이집,"전라북도 전주시 완산구 흑석로 31 102동 103호(서서학동, 신용고궁맨션)",35.8013349,127.150973
47,꼬마숲어린이집,"전라북도 전주시 덕진구 송천동2가 천마산로 115 201동 103호(송천동2가, 한라비발디2단지아파트)",35.8654381,127.1347229
48,꼬마스타어린이집,전라북도 전주시 완산구 효자동2가 소태정4길 23-4 (효자동2가),35.8130874,127.1071045
49,꼬마요정어린이집,"전라북도 전주시 덕진구 호성로 132 103동 101호(호성동1가, 진흥더블파크1단지)",35.8620221,127.149055
50,꼬마짱어린이집,"전라북도 전주시 덕진구 두간6길 7 103동 106호(송천동1가, 케이제이라미안)",35.8625093,127.1262172
51,꼬마천사가정어린이집,"전라북도 전주시 덕진구 안덕원로 251 103동 101호(인후동1가, 인후동한신휴플러스)",35.8326849,127.1471289
52,꼬미꼬미어린이집,전라북도 전주시 덕진구 인후동1가 석소로 55 현대아파트 관리동내,35.8318654,127.1645335
53,꽃가람어린이집,"전라북도 전주시 덕진구 오공로 70 102동 101호(중동, 우미린 1차)",35.8355499,127.1417709
54,꽃들어린이집,"전라북도 전주시 덕진구 와룡로 42 204동 103호(송천동2가, 쌍용2차)",35.8630769,127.112614
55,꽃사슴어린이집,"전라북도 전주시 덕진구 송천동2가 와룡2길 7 103동 105호(송천동2가, 솔내마을동아)",35.8658173,127.113303
56,꽃잔디어린이집,"전라북도 전주시 완산구 당산로 101 108동 102호(서신동, 서신동아아파트)",35.8328929,127.1178789
57,꿈꾸는어린이집,"전라북도 전주시 완산구 당산로 34 102동 106호(서신동, 비사벌)",35.8316841,127.111485
58,꿈나래어린이집,전라북도 전주시 완산구 전룡5길 24-14 (서신동),35.8272255,127.1212021
59,꿈동이어린이집,전라북도 전주시 덕진구 사근1길 11 현대3차 309/108 꿈동이어린이집,35.8670852,127.1288189
60,꿈망울어린이집,"전라북도 전주시 완산구 소대배기로 33 관리동(평화동2가, 현대)",35.7874956,127.1335843
61,꿈별어린이집,"전라북도 전주시 완산구 서곡로 34 103동 103호(효자동3가, 청솔)",35.8317748,127.0995882
62,꿈사랑어린이나라어린이집,전라북도 전주시 완산구 화산천변3길 15-5 (중화산동2가),35.8200531,127.1147155
63,꿈샘어린이집,"전라북도 전주시 완산구 덕적골1길 33 103동 106호(평화동1가, 한성)",35.7948587,127.1401521
64,꿈속어린이집,"전라북도 전주시 완산구 평화동2가 맏내1길 5 102동 104호(평화동2가, 우성신성타운A)",35.790277,127.1305784
65,꿈에그린어린이집,"전라북도 전주시 완산구 구이로 2094 단지내(평화동2가, 평화주공그린타운)",35.78417,127.1313087
66,꿈오름 어린이집,"전라북도 전주시 완산구 솟대로 10 5동 108호(삼천동1가, 우성아파트)",35.7951686,127.127281
