학교명,주소,위도,경도
상무고등학교,광주광역시 서구 상무민주로32번길 28(쌍촌동),35.1547976,126.8601477
성덕고등학교,광주광역시 광산구 장덕로 75(장덕동),35.1958223,126.8175615
설월여자고등학교,광주광역시 남구 천변좌로604번길 12. 설월여자고등학교 (방림동),35.1258007,126.9277892
전남대학교사범대학부설고등학교,광주광역시 북구 용봉로 45(용봉동. 전남대학교),35.1761175,126.9058167
운남고등학교,광주광역시 광산구 임방울대로165번길 17운남고등학교 (운남동),35.1757095,126.8164097
풍암고등학교,광주광역시 서구 풍암신흥로39번길 20. 풍암고등학교 (풍암동),35.1226056,126.8674895
첨단고등학교,광주광역시 광산구 산월로 12-17(월계동. 첨단고등학교),35.2067339,126.8374347
광주여자고등학교,광주광역시 서구 상무대로1014번길 43. 광주여자고등학교 (화정동),35.1479745,126.8733835
광주고등학교,광주광역시 동구 중앙로 302(계림동),35.1591189,126.9219958
광주제일고등학교,광주광역시 북구 독립로237번길 33. 144 (누문동),35.1539117,126.9073578
비아고등학교,광주광역시 광산구 첨단중앙로181번길 42-26(월계동. 비아중학교),35.2223975,126.8358702
전남고등학교,광주광역시 서구 상무공원로 32(치평동),35.1474599,126.8436339
전남여자고등학교,광주광역시 동구 제봉로158번길 8(장동),35.1513562,126.9205781
동명고등학교,광주광역시 광산구 사이동길 16(서봉동),35.1559756,126.7406044
고려고등학교,광주광역시 북구 설죽로 369(삼각동) 고려고등학교,35.1935699,126.8967072
광덕고등학교,광주광역시 서구 화정로 202(화정동),35.1448183,126.8787713
보문고등학교,광주광역시 광산구 어등대로529번길 37(운수동),35.1541744,126.7769167
명진고등학교,광주광역시 광산구 수완로12번길 21(수완동),35.1871188,126.8299583
광일고등학교,광주광역시 광산구 고봉로 812(임곡동. 임곡중학교.광일고등학교),35.2213691,126.7415308
광주경신여자고등학교,광주광역시 북구 금호로40번길 40 (용봉동),35.1693675,126.8945721
광주대동고등학교,광주광역시 서구 전평길 50. 광주대동고등학교 (매월동),35.1194811,126.8497001
광주동성고등학교,광주광역시 남구 서문대로627번길 20. 광주동성고등학교 (진월동),35.1156067,126.896284
광주동신고등학교,광주광역시 북구 동문대로 50(풍향동)광주동신고등학교,35.1694065,126.9222887
광주동신여자고등학교,광주광역시 북구 동문대로50(풍향동),35.1657035,126.9250553
광주서석고등학교,광주광역시 서구 화정로 253번길 27(화정동),35.1491655,126.8818746
광주석산고등학교,광주광역시 남구 백운로26번길 20(백운동.석산고등학교),35.1394376,126.9081519
광주수피아여자고등학교,광주광역시 남구 백서로 13. (양림동. 광주수피아여고),35.1369657,126.9098462
광주숭일고등학교,광주광역시 북구 모룡대길 40(일곡동),35.2179557,126.896697
광주인성고등학교,광주광역시 남구 서문대로 390(송하동. 광주인성고),35.1024693,126.8812665
금호중앙여자고등학교,광주광역시 북구 금호로 100(운암동. 금호중앙여자고등학교),35.1771272,126.8843754
광주진흥고등학교,광주광역시 광산구 왕버들로 307. 광주진흥고등학교(신창동),35.1959575,126.8420734
동아여자고등학교,광주광역시 남구 오방로 16-10(봉선동.동아여자고등학교),35.1258048,126.9220716
국제고등학교,광주광역시 북구 설죽로 433(삼각동.학교법인춘태학원),35.1991166,126.8969507
금호고등학교,광주광역시 북구 금호로 100(운암동. 금호고등학교),35.1786815,126.8854274
대광여자고등학교,광주광역시 남구 서문대로742번길 13(주월동.대광여자고등학교),35.1252725,126.8990698
대성여자고등학교,광주광역시 남구 서문대로663번길 37(진월동),35.1190673,126.8936547
문성고등학교,광주광역시 남구 제석로 73(봉선동.문성고등학교),35.1202888,126.9050807
살레시오고등학교,광주광역시 북구 모룡대길 67. 살레시오고등학교 (일곡동),35.2165995,126.8917763
살레시오여자고등학교,광주광역시 동구 필문대로273번길 21(지산동. 살레시오),35.1469648,126.9298719
서강고등학교,광주광역시 북구 서강로 1. 서강고등학교 (운암동),35.1749236,126.8694355
송원고등학교,광주광역시 남구 송암로 73. 송원고등학교 (송하동),35.1091775,126.8712433
송원여자고등학교,광주광역시 남구 송암로 73. (송하동. 송원여자고등학교) (송하동),35.1085464,126.8715681
숭덕고등학교,광주광역시 광산구 월계로 117-8(월계동. 숭덕고등학교),35.2144275,126.8392121
정광고등학교,광주광역시 광산구 소촌로 90-36(소촌동. 정광고등학교),35.1548783,126.7957177
조선대학교부속고등학교,광주광역시 동구 의재로33번길 33. (학동. 조선대학교부속고등학교) (학동),35.1352163,126.9312054
조선대학교여자고등학교,광주광역시 동구 지산로 36(지산동),35.1465934,126.9327006
호남삼육고등학교,광주광역시 남구 회서로 30(주월동) 호남삼육고등학교,35.1294612,126.8938521
상일여자고등학교,광주광역시 서구 내방로 217(쌍촌동),35.1586846,126.8644926
문정여자고등학교,광주광역시 북구 능안로30번길 33. 문정여자고등학교 (오치동. 5-12),35.1877711,126.9184401
장덕고등학교,광주광역시 광산구 수등로 45(장덕동. 장덕고등학교),35.1860972,126.8154928
수완고등학교,광주광역시 광산구 장덕로 155. 수완고등학교 (수완동),35.1982647,126.8255977
빛고을고등학교,광주광역시 북구 첨단연신로133번길 19. (신용동. 빛고을고등학교) (신용동),35.2105396,126.8627656
광주체육고등학교,광주광역시 북구 하서로 55(운암동184번지),35.1819597,126.8796602
광주과학고등학교,광주광역시 북구 첨단과기로 215(오룡동),35.2280979,126.8484909
광주예술고등학교,광주광역시 북구 서강로 133. 광주예술고등학교 (운암동),35.1836818,126.875015
광주자연과학고등학교,광주광역시 북구 능안로 30(오치동. 자연과학고등학교),35.1903412,126.9176746
광주공업고등학교,광주광역시 북구 설죽로315번길 14. 광주공업고등학교 (매곡동),35.1900981,126.8973183
광주소프트웨어마이스터고등학교,광주광역시 광산구 상무대로 312(송정동),35.1361402,126.8024971
광주전자공업고등학교,광주광역시 광산구 첨단중앙로 7(월계동. 광주전자공업고등학교),35.2055119,126.841851
전남공업고등학교,광주광역시 광산구 왕버들로322번길 26(신창동),35.1934513,126.8414343
동일미래과학고등학교,광주광역시 남구 천변좌로 604. 번길 12 (방림동),35.1265036,126.9272345
금파공업고등학교,광주광역시 북구 금호로 80(운암동),35.1769049,126.8870081
숭의과학기술고등학교,광주광역시 남구 오방로 34-13(방림동),35.1285168,126.9226
광주여자상업고등학교,광주광역시 남구 서문대로627번길 20. 광주여자상업고등학교 (진월동),35.11544,126.893515
송원여자상업고등학교,광주광역시 남구 송암로 73. 송원여자상업고등학교 (송하동),35.1121625,126.8736836
전남여자상업고등학교,광주광역시 북구 설죽로 433. 전남여자상업고등학교 (삼각동),35.1993747,126.896457
광주자동화설비공업고등학교,광주광역시 광산구 사암로92번길. 136-26 (우산동),35.1528633,126.811383
서진여자고등학교,광주광역시 남구 서문대로742번길 20서진여자고등학교 (주월동),35.1254947,126.9001252
광주세광학교,광주광역시 서구 유덕로 177(덕흥동),35.168121,126.8361691
광주선광학교,광주광역시 광산구 목련로394번길 60-3. 광주선광학교 (신가동),35.1826257,126.8361854
광주선우학교,광주광역시 북구 모룡대길 61(일곡동. 광주선우학교),35.2127116,126.8932468
광주선명학교,광주광역시 남구 서문대로749번마길 2(주월동.선명학교),35.1258834,126.8925704
은혜학교,광주광역시 북구 앰코로 127(오룡동),35.2324528,126.8489161
금호미용예술학교,광주광역시 북구 동운로 167-5(운암동),35.174121,126.8682794
문흥중앙초등학교병설유치원,광주광역시 북구 문산로 17. 61133 (문흥동. 문흥중앙초등학교),35.1839325,126.9210662
운암유치원,광주광역시 북구 서강로 79-10(운암동),35.1882572,126.8745571
엘리트유치원,광주광역시 북구 일곡로49번길 66(일곡동),35.2099695,126.8930358
선일유치원,광주광역시 북구 서강로54번길 50. 단지내 선일유치원 (운암동. 벽산 블루밍 메가씨티),35.1747941,126.8767747
광주계림초등학교병설유치원,광주광역시 동구 중앙로 320(계림동. 계림초등학교),35.1600652,126.9213664
건국유치원,광주광역시 북구 첨단연신로108번길 104. 건국유치원 (신용동),35.2101698,126.8650207
한울초등학교병설유치원,광주광역시 북구 유림로160번길 15(동림동. 한울초등학교),35.1761111,126.8661111
광주문화초등학교병설유치원,광주광역시 북구 군왕로 135(두암동),35.1736446,126.9314492
두암초등학교병설유치원,광주광역시 북구 참판로 130(두암동),35.1696058,126.9340411
광주동초등학교병설유치원,광주광역시 북구 석곡로 527(망월동.광주동초등학교),35.2058302,126.9508232
광주동산초등학교병설유치원,광주광역시 동구 준법로 16. 광주동산초등학교병설유치원 (지산동),35.1488258,126.9351491
태봉초등학교병설유치원,광주광역시 북구 청계로 33. 태봉초등학교병설유치원(용봉동),35.1762658,126.8923149
지한유치원,광주광역시 동구 남계길 38(내남동),35.0930579,126.9391953
광주북초등학교병설유치원,광주광역시 북구 하서로 985병설유치원 (효령동. 광주북초등학교),35.2463498,126.9145289
새미르유치원,광주광역시 북구 임방울대로1042번길 29(신용동. 새미르유치원),35.2095532,126.8704991
광주산수초등학교병설유치원,광주광역시 동구 산수길 28. 광주산수초등학교 병설유치원 (산수동. 산수초등학교),35.1557415,126.9281218
광주서림초등학교병설유치원,광주광역시 북구 서림로 113(임동. 서림초등학교),35.1628236,126.8994021
광주서석초등학교병설유치원,광주광역시 동구 제봉로82번길 26(서석동.서석초등학교),35.1474091,126.9242057
광주수창초등학교병설유치원,광주광역시 북구 금남로 99(북동),35.1568562,126.9066444
광주남초등학교병설유치원,광주광역시 동구 지원로5번길 20. 광주남초등학교병설유치원 (소태동. 광주남초등학교),35.1262498,126.9331932
광주풍향초등학교병설유치원,광주광역시 북구 군왕로51번길 77. 광주풍향초등학교 (두암동),35.167623,126.9277776
광주중흥초등학교병설유치원,광주광역시 북구 경양로197번길 25(중흥동. 중흥초등학교),35.1608015,126.9132826
