시군구,도로명,주소,사고건수,사망자수,중상자수,경상자수,부상신고자수,위도,경도
광주광역시 동구,필문대로,광주광역시 동구 필문대로,4,1,1,3,0,35.1580949,126.9285269
광주광역시 동구,참판로,광주광역시 동구 참판로,3,0,0,3,0,35.1608367,126.9272848
광주광역시 동구,화산로350번길,광주광역시 동구 화산로350번길,1,0,0,1,0,35.115439,126.932745
광주광역시 동구,군왕로,광주광역시 동구 군왕로,1,0,0,1,0,35.1738498,126.9334553
광주광역시 동구,남문로,광주광역시 동구 남문로,58,1,15,83,5,35.1196779,126.9327871
광주광역시 동구,대남대로,광주광역시 동구 대남대로,5,0,2,7,0,35.1385539,126.9227167
광주광역시 동구,제봉로,광주광역시 동구 제봉로,42,1,4,52,3,35.1476504,126.9189039
광주광역시 동구,구성로,광주광역시 동구 구성로,19,0,3,27,1,35.1539407,126.9149862
광주광역시 동구,백서로,광주광역시 동구 백서로,14,0,0,24,0,35.1458699,126.9245852
광주광역시 동구,밤실로,광주광역시 동구 밤실로,9,0,3,7,1,35.1540805,126.9365134
광주광역시 동구,양림로,광주광역시 동구 양림로,4,0,0,4,0,35.1398694,126.9206942
광주광역시 동구,무등로,광주광역시 동구 무등로,2,0,1,4,0,35.1586,126.9465078
광주광역시 동구,중앙로,광주광역시 동구 중앙로,44,1,13,47,2,35.1543163,126.917315
광주광역시 동구,화산로,광주광역시 동구 화산로,3,0,0,4,0,35.1185146,126.9281308
광주광역시 동구,갈마로,광주광역시 동구 갈마로,2,0,1,1,0,35.160861,126.9337936
광주광역시 동구,독립로264번길,광주광역시 동구 독립로264번길,1,0,0,1,0,35.1537003,126.9125133
광주광역시 동구,천변좌로,광주광역시 동구 천변좌로,2,0,0,2,0,35.1248313,126.9295878
광주광역시 동구,계림로,광주광역시 동구 계림로,3,0,0,5,0,35.1561687,126.9224728
광주광역시 동구,제봉로110번길,광주광역시 동구 제봉로110번길,1,0,0,5,0,35.1487287,126.9230717
광주광역시 동구,장동로,광주광역시 동구 장동로,2,0,0,1,1,35.1483239,126.9247494
광주광역시 동구,서남로,광주광역시 동구 서남로,9,0,1,11,1,35.1449367,126.9236815
광주광역시 동구,문화전당로,광주광역시 동구 문화전당로,4,0,0,9,0,35.1446066,126.9196579
광주광역시 동구,산수길,광주광역시 동구 산수길,1,0,0,1,0,35.1559667,126.9278898
광주광역시 동구,무등로384번길,광주광역시 동구 무등로384번길,3,0,0,4,0,35.1576942,126.9259327
광주광역시 동구,남문로724번길,광주광역시 동구 남문로724번길,1,0,1,0,0,35.1372831,126.9264245
광주광역시 동구,밤실로136번길,광주광역시 동구 밤실로136번길,1,0,0,1,0,35.1595102,126.9363863
광주광역시 동구,남문로701번길,광주광역시 동구 남문로701번길,1,0,0,2,0,35.1328176,126.9265084
광주광역시 동구,남문로753번길,광주광역시 동구 남문로753번길,1,0,0,1,1,35.136077,126.9237735
광주광역시 동구,지호로,광주광역시 동구 지호로,4,0,0,4,0,35.1495224,126.9388001
광주광역시 동구,지산로,광주광역시 동구 지산로,4,0,1,3,0,35.1487051,126.9323236
광주광역시 동구,준법로,광주광역시 동구 준법로,4,0,0,6,0,35.1494975,126.9349622
광주광역시 동구,의재로,광주광역시 동구 의재로,14,0,6,13,1,35.1326573,126.9370045
광주광역시 동구,필문대로273번길,광주광역시 동구 필문대로273번길,7,0,0,7,0,35.14621,126.9291254
광주광역시 동구,증심천로,광주광역시 동구 증심천로,1,0,1,0,0,35.1320147,126.9352017
광주광역시 동구,의재로109번길,광주광역시 동구 의재로109번길,1,0,0,1,0,35.1363738,126.9404134
광주광역시 동구,운림길75번길,광주광역시 동구 운림길75번길,1,0,0,1,0,35.134736,126.9454377
광주광역시 동구,태봉길,광주광역시 동구 태봉길,1,0,1,0,0,35.1296225,126.9401493
광주광역시 동구,남문로587번길,광주광역시 동구 남문로587번길,1,0,0,1,0,35.1233599,126.9315431
광주광역시 동구,남문로648번길,광주광역시 동구 남문로648번길,1,0,1,0,0,35.1295337,126.9317559
광주광역시 동구,지원로,광주광역시 동구 지원로,2,0,1,1,0,35.1240761,126.9345886
광주광역시 동구,소태길,광주광역시 동구 소태길,2,0,0,2,0,35.1196498,126.9408359
광주광역시 동구,남문로744번길,광주광역시 동구 남문로744번길,3,0,0,4,0,35.1377056,126.9261922
광주광역시 동구,백서로125번길,광주광역시 동구 백서로125번길,9,0,0,9,1,35.1434739,126.9181489
광주광역시 동구,제봉로82번길,광주광역시 동구 제봉로82번길,3,0,0,3,0,35.1467844,126.9231875
광주광역시 동구,동명로,광주광역시 동구 동명로,11,0,3,11,0,35.1507925,126.9271587
광주광역시 동구,동계로,광주광역시 동구 동계로,4,0,1,5,0,35.1543147,126.9244076
광주광역시 동구,경양로247번길,광주광역시 동구 경양로247번길,1,0,1,0,0,35.1578665,126.9188397
광주광역시 동구,학소로,광주광역시 동구 학소로,4,0,0,4,1,35.1292541,126.9331593
광주광역시 동구,문화전당로26번길,광주광역시 동구 문화전당로26번길,1,0,0,1,1,35.1452727,126.9208843
광주광역시 동구,무등로,광주광역시 동구 무등로,19,0,8,25,0,35.1586,126.9465078
광주광역시 동구,중흥로,광주광역시 동구 중흥로,1,0,1,0,0,35.1599031,126.917265
광주광역시 동구,경양로,광주광역시 동구 경양로,7,0,4,7,0,35.1549189,126.9254289
광주광역시 동구,동계천로,광주광역시 동구 동계천로,12,0,3,12,1,35.1518696,126.9219207
광주광역시 동구,필문대로,광주광역시 동구 필문대로,68,0,17,93,2,35.1580949,126.9285269
