지역,상호,타입,주소,위도,경도
광주광역시,(주)대원 강변주유소,주유소,광주 서구 천변좌하로 142 (치평동),35.1524332,126.8564064
광주광역시,반디석유시청점,주유소,광주 서구 천변좌하로 160 (치평동),35.1536569,126.8362139
광주광역시,(주)아프리카주유소,주유소,광주광역시 서구  천변좌하로 168 (치평동),35.1557753,126.8378471
광주광역시,한강주유소,주유소,광주 서구 천변좌로 6 (광천동),35.1638701,126.8863197
광주광역시,우리셀프주유소,주유소,광주 서구 죽봉대로 24 (농성동),35.15559,126.8837787
광주광역시,벽진주유소,주유소,광주 서구 상무대로 616 (벽진동),35.1396117,126.8325577
광주광역시,백일주유소,주유소,광주 서구 화정로 68 (쌍촌동),35.1443755,126.8646167
광주광역시,풍암대림주유소,주유소,광주 서구 풍서좌로 83 (매월동),35.1210242,126.8587523
광주광역시,(유)매월주유소,주유소,광주 서구  회재로 845,35.1195214,126.85816
광주광역시,서창동화주유소,주유소,광주 서구 회재로 490,35.1054254,126.8255001
광주광역시,(주)대원 자유로주유소,주유소,광주 서구 상무자유로 18 (치평동),35.1512611,126.8361129
광주광역시,운천주유소,주유소,광주 서구 상무대로 758,35.1452238,126.8464035
광주광역시,가람주유소,주유소,광주 서구 상무대로1206번길 3 (농성동),35.1553022,126.8938657
광주광역시,돌고개주유소,주유소,광주 서구 경열로 54 (농성동),35.1497749,126.8923114
광주광역시,상무주유소,주유소,광주 서구 풍서우로 408 (마륵동),35.1418287,126.8329848
광주광역시,시민주유소,주유소,광주 서구 눌재로 328,35.1107571,126.8250386
광주광역시,대동에너지주유소,주유소,광주 서구 회재로 783,35.1161555,126.8530861
광주광역시,서창농협주유소,주유소,광주 서구 회재로 527 (서창동),35.1100266,126.8235123
광주광역시,서광주역주유소(SK),주유소,광주 서구 풍서우로 152,35.1276938,126.8454549
광주광역시,지에스칼텍스㈜ 스카이주유소,주유소,광주 서구 상무대로 655,35.1411041,126.836556
광주광역시,아세아주유소,주유소,광주 서구 내방로 264 (쌍촌동),35.1574985,126.8696094
광주광역시,(주)믿음직영 부일주유소,주유소,광주 서구 상무대로 933,35.1516029,126.8639599
광주광역시,상록주유소,주유소,광주 서구 상무대로 1180,35.1543676,126.8906264
광주광역시,(주)대창석유직영 염주주유소,주유소,광주 서구 월드컵4강로 120 (화정동),35.1473374,126.8722345
광주광역시,(주)일프로주유소,주유소,광주 서구 운천로 206 (치평동),35.1509261,126.8557405
