NODE_NM,위도,경도
방림터널사거리,35.13069751,126.9184184
방림터널사거리,35.13078526,126.9184291
송림아파트,35.13095636,126.9233054
송림아파트,35.13101777,126.9232048
영진주택,35.13250065,126.9226295
영진주택,35.13240962,126.9225651
방림초교,35.13390343,126.9215164
방림초교,35.13407452,126.9212092
삼화교,35.22278611,126.736725
상공회의소,35.15119722,126.8863361
상공회의소,35.15151389,126.8857417
농성SK뷰,35.15368611,126.8866278
상림,35.270961,126.862452
상무지구입구,35.14755556,126.85065
상무1동행정복지센터,35.15288333,126.8695444
상무1동행정복지센터,35.15269444,126.8693611
상무지구,35.156496,126.838633
상무병원,35.15251389,126.8550444
상무병원,35.15248333,126.8547556
상무역,35.14606389,126.8476139
상무역,35.14637222,126.8476667
상무중,35.14508611,126.8572639
상무중,35.14430833,126.8584167
금호초교,35.143161,126.857511
상전,35.13824722,126.7998778
용봉우미아파트,35.17765833,126.9007389
풍암한신아파트,35.12268333,126.8766722
풍암한신아파트,35.12276667,126.8767917
샛터코아,35.18606111,126.9208556
서광주우체국,35.146158,126.872469
서광주우체국,35.146397,126.872599
서광주역,35.12587222,126.8469806
서광주역종점,35.125968,126.846707
서광주한전,35.150875,126.8928111
돌고개역(서),35.15165278,126.89465
서구문화센터,35.131587,126.859667
금호도개공아파트,35.13246944,126.8615611
서구문화센터,35.131391,126.85938
금호도개공아파트,35.132779,126.861737
서구청,35.151529,126.889771
서구청,35.151892,126.888923
서남하이츠(국제양궁장),35.13167222,126.8906333
서남하이츠(국제양궁장),35.13186111,126.8905861
응암공원,35.21616111,126.8343778
응암공원,35.21667222,126.8346056
서방사거리,35.16503889,126.9186917
서방사거리,35.16497222,126.9180417
서방시장(서),35.16713889,126.9182556
서방시장(북),35.16725833,126.9194917
서방시장(남),35.16632222,126.9194472
서방시장(남),35.16641111,126.9197139
서광주전화국,35.15332222,126.8945222
서광주전화국,35.153437,126.894222
서산초교,35.18805556,126.9053778
서산초교,35.18860278,126.9052417
서석고,35.15256389,126.8808972
서석고,35.15279167,126.8805472
서창농협,35.13248333,126.8584778
서창농협,35.13228333,126.8583722
서창입구,35.13985278,126.8330333
서창입구,35.14013056,126.8330111
서태리1구,35.03950556,126.9508944
서태리2구,35.03159167,126.9444028
석동,35.23015556,126.7369306
선교,35.08886389,126.9470611
우영아파트,35.12923611,126.9264194
빛고을복지회관,35.127083,126.929601
빛고을복지회관,35.127055,126.929803
성내,35.21805278,126.749725
공구의거리,35.17104722,126.8821111
공구의거리,35.17090556,126.8810972
성산맨션,35.18135278,126.9113667
역산공원입구,35.16731111,126.8021361
역산공원입구,35.16747222,126.8023889
성촌마을/전통문화관,35.13391944,126.9523417
성촌마을/전통문화관,35.13403056,126.9528139
세량리,35.07386389,126.9138861
새한철강,35.21331944,126.8104417
만연빌딩,35.05571667,126.9888861
지원2동주민센터(남),35.12010278,126.9327667
지원2동행정복지센터입구,35.12093611,126.933325
지원2동행정복지센터입구,35.120785,126.933176
매월동(북),35.11276389,126.8443778
서부자동차매매단지,35.11423,126.856196
종합유통단지,35.11529167,126.8587139
서부농수산물도매시장,35.117269,126.857789
절골입구(서),35.11065833,126.8287639
중촌,35.11008333,126.8229722
서창치안센터,35.10745278,126.8209667
용두입구,35.099533,126.821765
학동(서창),35.09755,126.8241333
개동,35.091675,126.8266361
대촌한일베라체,35.08203723,126.8313754
지석사거리,35.08113889,126.8334944
대촌미곡처리장,35.07672778,126.8271389
대지동상촌,35.07394722,126.8225917
대지동하촌,35.07326111,126.8185722
육묘장,35.07037222,126.81595
무학초교,35.06626944,126.8057028
학촌,35.064699,126.802898
도덕,35.05960833,126.8051611
구소,35.05322222,126.8118444
양촌(대촌),35.06156944,126.7938167
유촌,35.05995833,126.7901167
승촌주택단지,35.05794722,126.7865778
승촌,35.05631667,126.7840472
월성,35.06936944,126.8024
지동,35.07188056,126.8040472
화장앞길,35.07402778,126.8036583
화장뒷길,35.075925,126.8041778
농막,35.08259167,126.8075889
시산,35.08595278,126.8077694
석정,35.08749444,126.8090528
