버정거리총합,상호개수,교통사고건수,보호구역개수,화재발생건수,주유소명,주소,위도,경도
0.588235294,0.606060606,0.844712182,0.607594937,0.844262295,(주)대원 강변주유소,광주 서구 천변좌하로 142 (치평동),35.1524332,126.8564064
0.302521008,0.606060606,0.273761714,0.164556962,0.549180328,반디석유시청점,광주 서구 천변좌하로 160 (치평동),35.1536569,126.8362139
0.344537815,0.696969697,0.348058902,0.202531646,0.549180328,(주)아프리카주유소,광주광역시 서구  천변좌하로 168 (치평동),35.1557753,126.8378471
0.831932773,1,0.657965194,0.594936709,0.475409836,한강주유소,광주 서구 천변좌로 6 (광천동),35.1638701,126.8863197
0.75210084,0.787878788,0.749665328,0.556962025,0.87704918,우리셀프주유소,광주 서구 죽봉대로 24 (농성동),35.15559,126.8837787
0.243697479,0.606060606,0.165997323,0.126582278,0.418032787,벽진주유소,광주 서구 상무대로 616 (벽진동),35.1396117,126.8325577
0.609243697,0.303030303,0.838688086,0.746835443,0.606557377,백일주유소,광주 서구 화정로 68 (쌍촌동),35.1443755,126.8646167
0.420168067,0.424242424,0.210174029,0.405063291,0.352459016,풍암대림주유소,광주 서구 풍서좌로 83 (매월동),35.1210242,126.8587523
0.407563025,0.424242424,0.192771084,0.417721519,0.352459016,(유)매월주유소,광주 서구  회재로 845,35.1195214,126.85816
0.109243697,0.090909091,0.007362784,0.012658228,0.049180328,서창동화주유소,광주 서구 회재로 490,35.1054254,126.8255001
0.31092437,0.606060606,0.294511379,0.151898734,0.459016393,(주)대원 자유로주유소,광주 서구 상무자유로 18 (치평동),35.1512611,126.8361129
0.466386555,0.666666667,0.532128514,0.443037975,0.713114754,운천주유소,광주 서구 상무대로 758,35.1452238,126.8464035
0.915966387,0.848484848,0.683400268,0.481012658,0.606557377,가람주유소,광주 서구 상무대로1206번길 3 (농성동),35.1553022,126.8938657
0.865546218,0.727272727,0.695448461,0.607594937,0.631147541,돌고개주유소,광주 서구 경열로 54 (농성동),35.1497749,126.8923114
0.256302521,0.575757576,0.1854083,0.17721519,0.549180328,상무주유소,광주 서구 풍서우로 408 (마륵동),35.1418287,126.8329848
0.105042017,0.151515152,0.007362784,0.025316456,0.040983607,시민주유소,광주 서구 눌재로 328,35.1107571,126.8250386
0.348739496,0.424242424,0.152610442,0.303797468,0.147540984,대동에너지주유소,광주 서구 회재로 783,35.1161555,126.8530861
0.096638655,0.151515152,0.007362784,0.025316456,0.040983607,서창농협주유소,광주 서구 회재로 527 (서창동),35.1100266,126.8235123
0.361344538,0.545454545,0.174698795,0.341772152,0.336065574,서광주역주유소(SK),광주 서구 풍서우로 152,35.1276938,126.8454549
0.289915966,0.606060606,0.306559572,0.253164557,0.483606557,지에스칼텍스㈜ 스카이주유소,광주 서구 상무대로 655,35.1411041,126.836556
0.655462185,0.727272727,1,0.64556962,0.754098361,아세아주유소,광주 서구 내방로 264 (쌍촌동),35.1574985,126.8696094
0.663865546,0.484848485,0.977242303,0.82278481,0.860655738,(주)믿음직영 부일주유소,광주 서구 상무대로 933,35.1516029,126.8639599
0.890756303,0.878787879,0.611111111,0.569620253,0.713114754,상록주유소,광주 서구 상무대로 1180,35.1543676,126.8906264
0.605042017,0.424242424,0.833333333,0.620253165,0.56557377,(주)대창석유직영 염주주유소,광주 서구 월드컵4강로 120 (화정동),35.1473374,126.8722345
0.575630252,0.606060606,0.848058902,0.582278481,0.844262295,(주)일프로주유소,광주 서구 운천로 206 (치평동),35.1509261,126.8557405
0.378151261,0.363636364,0.18875502,0.379746835,0.327868852,매월유통단지주유소,광주 서구 회재로 746 (매월동),35.1227689,126.8551744
0.218487395,0.575757576,0.066934404,0.126582278,0.31147541,영광주유소,광주 서구 풍서우로 128(매월동),35.1335748,126.8340128
0.74789916,0.727272727,0.830655957,0.594936709,0.729508197,광주화정셀프주유소,광주 서구 화운로 180 (화정동),35.1549836,126.8770701
0.323529412,0.484848485,0.149933066,0.291139241,0.360655738,대양케미칼주유소/충전소,광주 서구 풍서좌로 255 (세하동),35.1273071,126.8417706
0.390756303,0.636363636,0.36746988,0.316455696,0.483606557,현대오일뱅크㈜직영 공항가는길주유소,광주 서구 상무대로 699 (마륵동),35.1412237,126.8393643
0.340336134,0.363636364,0.149263722,0.316455696,0.18852459,청우주유소,광주 서구 회재로 807 (매월동),35.1159821,126.851636
0.651260504,0.606060606,0.843373494,0.683544304,1,(유)신상무주유소,광주 서구 운천로 170,35.1476022,126.856925
0.357142857,0.515151515,0.163319946,0.291139241,0.360655738,(주)옥산주유소,광주 서구 풍서우로 172 (벽진동),35.1287922,126.843436
0.777310924,0.666666667,0.697456493,0.683544304,0.43442623,송원주유소,광주 서구 화운로 328 (광천동),35.1674808,126.8800883
0.491596639,0.484848485,0.22356091,0.518987342,0.418032787,예향주유소,광주 서구 풍암신흥로 2 (풍암동),35.119108,126.8641468
0.420168067,0.666666667,0.489959839,0.367088608,0.483606557,컨벤션주유소,광주 서구 상무대로 714,35.1432118,126.8422334
0.382352941,0.454545455,0.448460509,0.291139241,0.368852459,치평주유소,광주 서구 내방로 11 (치평동),35.1590996,126.8421466
0.777310924,0.666666667,0.566934404,0.620253165,0.540983607,상공주유소,광주 서구 대남대로472번길 44,35.1523651,126.8860554
0.617647059,0.575757576,0.910977242,0.683544304,0.991803279,시청주유소,광주 서구 천변좌하로 200 (치평동),35.1518445,126.8579259
0.525210084,0.424242424,0.719544846,0.46835443,0.737704918,오일패밀리주유소,광주 북구 빛고을대로 849,35.1633056,126.8552532
0.168067227,0.454545455,0.022757697,0.025316456,0.098360656,광남물류 광주지점 광주주유소,광주 북구 빛고을대로 825 (지야동),35.2335558,126.8823325
0.06302521,0,0.004685408,0,0.016393443,(유)착한주유소,광주 북구 동문대로 452 (장등동),35.2211927,126.9324037
0.558823529,0.484848485,0.451807229,0.797468354,0.508196721,무지개주유소,광주 북구 서하로 237 (오치동),35.1873498,126.906661
0.600840336,0.575757576,0.652610442,0.683544304,0.393442623,지에스칼텍스(주)클릭주유소,광주 북구 하남대로 743 (운암동),35.1719148,126.874026
0.890756303,0.787878788,0.487951807,0.658227848,0.573770492,(주)레드카펫주유소,광주 북구 용봉로 24 (신안동),35.1712907,126.8994925
0.705882353,0.818181818,0.5562249,0.734177215,0.778688525,스피드주유소,광주 북구  설죽로 226,35.1797553,126.8984716
0.81512605,0.696969697,0.668674699,0.974683544,0.827868852,(주)아승클린주유소,광주 북구 우치로 170 (용봉동),35.1742158,126.912024
0.911764706,0.787878788,0.491967871,0.569620253,0.62295082,히어로주유소,광주 북구 서암대로 128,35.1698664,126.8981813
0.920168067,0.696969697,0.571619813,0.696202532,0.909836066,자모셀프주유소,광주 북구 우치로 7 (중흥동),35.1662717,126.9130029
0.802521008,0.636363636,0.734270415,0.82278481,0.819672131,(주)알리바바주유소,광주 북구 서암대로 323 (우산동),35.1696074,126.9194654
0.966386555,0.848484848,0.623159304,0.455696203,0.885245902,SK에너지(주)직영 경기장주유소,광주 북구 무등로 76 (임동),35.1577103,126.9018476
0.285714286,0.454545455,0.208165997,0.417721519,0.131147541,용두우리주유소,광주광역시 북구 빛고을대로 652 (용두동),35.2233674,126.8725815
0.714285714,0.696969697,0.635207497,0.696202532,0.631147541,(주)반디석유,광주 북구 하남대로 819 (운암동),35.171525,126.882526
0.680672269,0.575757576,0.613119143,0.696202532,0.319672131,금하주유소,광주 북구 하남대로 777 (운암동),35.171479,126.8778664
0.336134454,0.484848485,0.243641232,0.392405063,0.56557377,동림주유소,광주 북구 북문대로 253,35.1871248,126.8644901
1,0.696969697,0.475903614,0.632911392,0.909836066,㈜에코주유소,광주 북구 무등로 213,35.1651784,126.9070555
0.676470588,0.666666667,0.412985274,0.683544304,0.713114754,(주)대창석유직영 운암주유소,광주 북구 북문대로 34 (운암동),35.1751712,126.8820763
0.941176471,0.848484848,0.500669344,0.569620253,0.745901639,전대주유소,광주 북구 무등로 165 (신안동),35.1678705,126.8997494
0.966386555,0.666666667,0.530120482,0.569620253,0.893442623,서림주유소,광주 북구 무등로 126 (신안동),35.1664341,126.904469
0.983193277,0.757575758,0.584337349,0.582278481,0.909836066,챔피언주유소,광주 북구 무등로 180 (신안동),35.1651228,126.903598
0.386554622,0.424242424,0.31793842,0.734177215,0.450819672,성실주유소,광주 북구 우치로 347 (삼각동),35.1959883,126.90273
0.56302521,0.575757576,0.370147256,0.772151899,0.532786885,서광주IC주유소,광주 북구 하서로 47 (운암동),35.183041,126.8810803
0.781512605,0.878787879,0.59772423,0.696202532,0.737704918,지에스칼텍스(주)용봉천주유소,광주 북구 설죽로 183 (용봉동),35.176081,126.8964551
0.117647059,0.242424242,0.001338688,0.037974684,0.081967213,용전주유소,광주 북구 우치로 809,35.2345655,126.8941464
0.399159664,0.333333333,0.316599732,0.721518987,0.450819672,까치주유소,광주 북구 하서로 211,35.1944728,126.8766631
0.352941176,0.272727273,0.15394913,0.151898734,0.139344262,첨단제일주유소,광주 북구 삼소로 191 (대촌동),35.2258026,126.8610119
0.390756303,0.333333333,0.315930388,0.721518987,0.450819672,(주)한일주유소,광주 북구 하서로 225,35.1954075,126.8764647
0.588235294,0.393939394,0.488621151,0.810126582,0.680327869,(주)차나라주유소,광주 북구 동문대로 138,35.1749944,126.9272138
0.445378151,0.454545455,0.28313253,0.493670886,0.352459016,신용주유소,광주 북구 임방울대로 959 (신용동),35.2153153,126.8629565
0.470588235,0.454545455,0.285809906,0.493670886,0.352459016,신용구도일주유소,광주 북구 임방울대로 953,35.2154707,126.8622272
0.953781513,0.818181818,0.591700134,0.556962025,0.918032787,평화셀프주유소,광주 북구 경열로 257(신안동),35.1623648,126.907609
0.957983193,0.878787879,0.521419009,0.481012658,0.868852459,북성주유소,광주 북구 금남로 49 (임동),35.1589601,126.9015026
0.525210084,0.424242424,0.719544846,0.46835443,0.737704918,첨단용두주유소,광주 북구  빛고을대로 663,35.1633056,126.8552532
0.508403361,0.515151515,0.585676037,0.64556962,0.450819672,현대오일뱅크(주)직영 동천마을셀프주유소,광주 북구 하남대로 691 (동림동),35.1720911,126.8683712
0.285714286,0.484848485,0.172690763,0.620253165,0.344262295,동부에너지주유소,광주 북구 하서로 571 (본촌동),35.2183199,126.883819
0.701680672,0.787878788,0.542168675,0.784810127,0.524590164,세본주유소,광주 북구 용주로 21,35.1814874,126.9004135
0.226890756,0.484848485,0.196787149,0.620253165,0.278688525,지산주유소,광주 북구 양산택지로 157,35.2173315,126.8781023
0.117647059,0.151515152,0.001338688,0.037974684,0.06557377,천보주유소,광주 북구 우치로 812 (용전동),35.2407301,126.8960891
0.407563025,0.424242424,0.363453815,0.696202532,0.450819672,(유)플러스주유소,광주 북구  설죽로 408 (삼각동),35.1956344,126.9003041
0.054621849,0.03030303,0.00334672,0.012658228,0,망월주유소,광주 북구 동문대로 603 (망월동),35.207419,126.9551617
0.168067227,0.242424242,0.065595716,0.215189873,0.057377049,패밀리셀프주유소,광주 북구 우치로 670,35.2241556,126.9023745
1,0.96969697,0.55957162,0.46835443,0.860655738,무등주유소,광주 북구 무등로 142 (신안동),35.1639316,126.9023435
0.399159664,0.484848485,0.278447122,0.746835443,0.270491803,(주)일곡우리주유소,광주 북구 우치로 595 (일곡동),35.2077608,126.8909297
