,주유소명,버정거리총합,상호개수,교통사고건수,보호구역개수,화재발생건수,총 가중치
0,(주)대원 강변주유소,154,20,1262,48,103,0
1,반디석유시청점,86,20,409,13,67,0
2,(주)아프리카주유소,96,23,520,16,67,0
3,한강주유소,212,33,983,47,58,0
4,우리셀프주유소,193,26,1120,44,107,0
5,벽진주유소,72,20,248,10,51,0
6,백일주유소,159,10,1253,59,74,0
7,풍암대림주유소,114,14,314,32,43,0
8,(유)매월주유소,111,14,288,33,43,0
9,서창동화주유소,40,3,11,1,6,0
10,(주)대원 자유로주유소,88,20,440,12,56,0
11,운천주유소,125,22,795,35,87,0
12,가람주유소,232,28,1021,38,74,0
13,돌고개주유소,220,24,1039,48,77,0
14,상무주유소,75,19,277,14,67,0
15,시민주유소,39,5,11,2,5,0
16,대동에너지주유소,97,14,228,24,18,0
17,서창농협주유소,37,5,11,2,5,0
18,서광주역주유소(SK),100,18,261,27,41,0
19,지에스칼텍스㈜ 스카이주유소,83,20,458,20,59,0
20,아세아주유소,170,24,1494,51,92,0
21,(주)믿음직영 부일주유소,172,16,1460,65,105,0
22,상록주유소,226,29,913,45,87,0
23,(주)대창석유직영 염주주유소,158,14,1245,49,69,0
24,(주)일프로주유소,151,20,1267,46,103,0
25,매월유통단지주유소,104,12,282,30,40,0
26,영광주유소,66,19,100,10,38,0
27,광주화정셀프주유소,192,24,1241,47,89,0
28,대양케미칼주유소/충전소,91,16,224,23,44,0
29,현대오일뱅크㈜직영 공항가는길주유소,107,21,549,25,59,0
30,청우주유소,95,12,223,25,23,0
31,(유)신상무주유소,169,20,1260,54,122,0
32,(주)옥산주유소,99,17,244,23,44,0
33,송원주유소,199,22,1042,54,53,0
34,예향주유소,131,16,334,41,51,0
35,컨벤션주유소,114,22,732,29,59,0
36,치평주유소,105,15,670,23,45,0
37,상공주유소,199,22,847,49,66,0
38,시청주유소,161,19,1361,54,121,0
39,오일패밀리주유소,139,14,1075,37,90,0
40,광남물류 광주지점 광주주유소,54,15,34,2,12,0
41,(유)착한주유소,29,0,7,0,2,0
42,무지개주유소,147,16,675,63,62,0
43,지에스칼텍스(주)클릭주유소,157,19,975,54,48,0
44,(주)레드카펫주유소,226,26,729,52,70,0
45,스피드주유소,182,27,831,58,95,0
46,(주)아승클린주유소,208,23,999,77,101,0
47,히어로주유소,231,26,735,45,76,0
48,자모셀프주유소,233,23,854,55,111,0
49,(주)알리바바주유소,205,21,1097,65,100,0
50,SK에너지(주)직영 경기장주유소,244,28,931,36,108,0
51,용두우리주유소,82,15,311,33,16,0
52,(주)반디석유,184,23,949,55,77,0
53,금하주유소,176,19,916,55,39,0
54,동림주유소,94,16,364,31,69,0
55,㈜에코주유소,252,23,711,50,111,0
56,(주)대창석유직영 운암주유소,175,22,617,54,87,0
57,전대주유소,238,28,748,45,91,0
58,서림주유소,244,22,792,45,109,0
59,챔피언주유소,248,25,873,46,111,0
60,성실주유소,106,14,475,58,55,0
61,서광주IC주유소,148,19,553,61,65,0
62,지에스칼텍스(주)용봉천주유소,200,29,893,55,90,0
63,용전주유소,42,8,2,3,10,0
64,까치주유소,109,11,473,57,55,0
65,첨단제일주유소,98,9,230,12,17,0
66,(주)한일주유소,107,11,472,57,55,0
67,(주)차나라주유소,154,13,730,64,83,0
68,신용주유소,120,15,423,39,43,0
69,신용구도일주유소,126,15,427,39,43,0
70,평화셀프주유소,241,27,884,44,112,0
71,북성주유소,242,29,779,38,106,0
72,첨단용두주유소,139,14,1075,37,90,0
73,현대오일뱅크(주)직영 동천마을셀프주유소,135,17,875,51,55,0
74,동부에너지주유소,82,16,258,49,42,0
75,세본주유소,181,26,810,62,64,0
76,지산주유소,68,16,294,49,34,0
77,천보주유소,42,5,2,3,8,0
78,(유)플러스주유소,111,14,543,55,55,0
79,망월주유소,27,1,5,1,0,0
80,패밀리셀프주유소,54,8,98,17,7,0
81,무등주유소,252,32,836,37,105,0
82,(주)일곡우리주유소,109,16,416,59,33,0
83,코끼리주유소(SK),150,18,543,59,74,0
84,동문주유소,121,12,587,57,51,0
85,현대오일뱅크(주)직영 빛고을로셀프주유소,139,14,1075,37,90,0
86,매곡주유소,149,18,550,59,74,0
87,(주)케이피유통(본촌주유소),75,18,253,44,16,0
88,SK에너지(주) 문흥주유소,141,16,801,59,68,0
89,고려주유소,115,14,574,55,55,0
90,대성주유소,166,20,913,66,81,0
91,지에스칼텍스(주)북광주IC주유소,32,5,19,1,2,0
92,문화주유소,96,11,638,40,37,0
93,첨단북광주IC주유소,32,5,19,1,2,0
94,테크노파크주유소,33,5,19,1,2,0
95,도동재주유소,61,5,164,16,21,0
96,북광주IC주유소,57,13,42,2,9,0
97,현대오일뱅크(주)직영 양산주유소,87,17,361,41,34,0
98,현대오일뱅크(주) 대림셀프주유소,89,15,373,49,34,0
99,두암주유소,148,12,669,52,77,0
100,광주화물터미널(주),86,9,406,38,45,0
101,SK에너지(주) 으뜸주유소,117,9,505,52,51,0
102,일신주유소,68,8,171,36,15,0
103,주공주유소,101,15,440,43,53,0
104,SK에너지 일곡제일주유소,109,14,524,53,55,0
105,용전IC주유소,39,6,2,1,8,0
106,세오(주)직영 미래주유소,114,15,369,37,41,0
107,일곡주유소,80,11,383,44,31,0
108,(주)안국에너지 우신주유소,87,9,426,42,45,0
109,(주)반디석유 산수점,181,6,693,49,95,0
110,(주)대창석유직영 지산주유소,173,5,609,42,90,0
111,(주)대창석유직영 동명주유소,233,14,738,53,121,0
112,삼영아름주유소,67,3,138,23,10,0
113,(주)아승그린주유소,171,7,655,49,103,0
114,주남셀프주유소,78,5,173,24,28,0
115,현대오일뱅크(주)직영 학운IC주유소,95,3,194,27,28,0
116,솔바우주유소,21,0,1,1,2,0
117,학동주유소,136,4,371,37,38,0
118,독립로주유소,242,24,975,51,88,0
119,서양새마을금고주유소,241,24,992,49,88,0
120,남선석유(주)빛고을주유소,109,12,293,39,38,0
121,알라딘효천,108,12,373,60,51,0
122,송암B주유소,109,12,331,38,24,0
123,광주대주유소,82,12,228,16,17,0
124,(주)대동주유소,191,12,695,68,89,0
