조사서번호,시도,시군구,읍면동,주소,위도,경도
'170101230458338,울산광역시,울주군,범서읍,울산광역시 울주군 범서읍,35.5690514,129.2300426
'170102010923242,울산광역시,남구,무거동,울산광역시 남구 무거동,35.5690514,129.2300426
'170102142105713,울산광역시,울주군,온산읍,울산광역시 울주군 온산읍,35.5690514,129.2300426
'170103123505027,울산광역시,울주군,온산읍,울산광역시 울주군 온산읍,35.5690514,129.2300426
'170103195735657,울산광역시,남구,삼산동,울산광역시 남구 삼산동,35.5690514,129.2300426
'170104100554366,울산광역시,울주군,범서읍,울산광역시 울주군 범서읍,35.5690514,129.2300426
'170104104355184,울산광역시,남구,삼산동,울산광역시 남구 삼산동,35.5690514,129.2300426
'170104121646282,울산광역시,남구,무거동,울산광역시 남구 무거동,35.5690514,129.2300426
'170104220402869,울산광역시,울주군,청량면,울산광역시 울주군 청량면,35.5690514,129.2300426
'170105042814475,울산광역시,중구,남외동,울산광역시 중구 남외동,35.5690514,129.2300426
'170105224828335,울산광역시,울주군,언양읍,울산광역시 울주군 언양읍,35.5690514,129.2300426
'170106172024290,울산광역시,울주군,범서읍,울산광역시 울주군 범서읍,35.5690514,129.2300426
'170106165511447,울산광역시,남구,삼산동,울산광역시 남구 삼산동,35.5690514,129.2300426
'170107024815362,울산광역시,울주군,두서면,울산광역시 울주군 두서면,35.5690514,129.2300426
'170107134159303,울산광역시,남구,달동,울산광역시 남구 달동,35.5690514,129.2300426
'170107174927230,울산광역시,울주군,웅촌면,울산광역시 울주군 웅촌면,35.5690514,129.2300426
'170109143625983,울산광역시,중구,성남동,울산광역시 중구 성남동,35.5690514,129.2300426
'170109155524411,울산광역시,울주군,삼남면,울산광역시 울주군 삼남면,35.5690514,129.2300426
'170110185939026,울산광역시,울주군,온양읍,울산광역시 울주군 온양읍,35.5690514,129.2300426
'170114093649362,울산광역시,중구,성안동,울산광역시 중구 성안동,35.5690514,129.2300426
'170110220749197,울산광역시,동구,주전동,울산광역시 동구 주전동,35.5690514,129.2300426
'170111134822213,울산광역시,북구,호계동,울산광역시 북구 호계동,35.5690514,129.2300426
'170111163013280,울산광역시,남구,여천동,울산광역시 남구 여천동,35.5690514,129.2300426
'170111165751272,울산광역시,울주군,온산읍,울산광역시 울주군 온산읍,35.5690514,129.2300426
'170111165344334,울산광역시,동구,방어동,울산광역시 동구 방어동,35.5690514,129.2300426
'170111225826230,울산광역시,울주군,두서면,울산광역시 울주군 두서면,35.5690514,129.2300426
'170111225609168,울산광역시,중구,유곡동,울산광역시 중구 유곡동,35.5690514,129.2300426
'170112111751246,울산광역시,남구,달동,울산광역시 남구 달동,35.5690514,129.2300426
'170112154035521,울산광역시,중구,반구동,울산광역시 중구 반구동,35.5690514,129.2300426
'170112171148395,울산광역시,남구,무거동,울산광역시 남구 무거동,35.5690514,129.2300426
'170113074945045,울산광역시,남구,선암동,울산광역시 남구 선암동,35.5690514,129.2300426
'170113164405319,울산광역시,북구,진장동,울산광역시 북구 진장동,35.5690514,129.2300426
'170114203910654,울산광역시,북구,매곡동,울산광역시 북구 매곡동,35.5690514,129.2300426
'170114190942091,울산광역시,남구,여천동,울산광역시 남구 여천동,35.5690514,129.2300426
'170114183809726,울산광역시,동구,방어동,울산광역시 동구 방어동,35.5690514,129.2300426
'170114202126128,울산광역시,남구,옥동,울산광역시 남구 옥동,35.5690514,129.2300426
'170115005356927,울산광역시,울주군,온양읍,울산광역시 울주군 온양읍,35.5690514,129.2300426
'170115042119195,울산광역시,남구,야음동,울산광역시 남구 야음동,35.5690514,129.2300426
'170115164842508,울산광역시,북구,정자동,울산광역시 북구 정자동,35.5690514,129.2300426
'170115185357102,울산광역시,중구,서동,울산광역시 중구 서동,35.5510418,129.260725
'170115192338366,울산광역시,동구,전하동,울산광역시 동구 전하동,35.5510418,129.260725
'170115201801233,울산광역시,남구,삼산동,울산광역시 남구 삼산동,35.5510418,129.260725
'170116052052381,울산광역시,울주군,온양읍,울산광역시 울주군 온양읍,35.5510418,129.260725
'170116071829636,울산광역시,남구,여천동,울산광역시 남구 여천동,35.5510418,129.260725
'170116101939660,울산광역시,울주군,청량면,울산광역시 울주군 청량면,35.5510418,129.260725
'170117110556506,울산광역시,울주군,상북면,울산광역시 울주군 상북면,35.5510418,129.260725
'170117170028631,울산광역시,북구,매곡동,울산광역시 북구 매곡동,35.5510418,129.260725
'170117180549558,울산광역시,중구,태화동,울산광역시 중구 태화동,35.5510418,129.260725
'170118151721477,울산광역시,남구,옥동,울산광역시 남구 옥동,35.5510418,129.260725
'170119083016003,울산광역시,울주군,서생면,울산광역시 울주군 서생면,35.5510418,129.260725
'170120002110084,울산광역시,울주군,언양읍,울산광역시 울주군 언양읍,35.5510418,129.260725
'170120011302850,울산광역시,동구,주전동,울산광역시 동구 주전동,35.5510418,129.260725
'170120151731193,울산광역시,동구,일산동,울산광역시 동구 일산동,35.5510418,129.260725
'170120233727236,울산광역시,동구,화정동,울산광역시 동구 화정동,35.5510418,129.260725
'170121024414890,울산광역시,북구,시례동,울산광역시 북구 시례동,35.5510418,129.260725
'170121070423868,울산광역시,동구,화정동,울산광역시 동구 화정동,35.5510418,129.260725
'170121164912335,울산광역시,울주군,범서읍,울산광역시 울주군 범서읍,35.5510418,129.260725
'170121201159246,울산광역시,울주군,웅촌면,울산광역시 울주군 웅촌면,35.5510418,129.260725
'170122091536155,울산광역시,남구,고사동,울산광역시 남구 고사동,35.5510418,129.260725
'170122072320282,울산광역시,중구,동동,울산광역시 중구 동동,35.5510418,129.260725
'170123005602249,울산광역시,울주군,범서읍,울산광역시 울주군 범서읍,35.5510418,129.260725
'170123001531363,울산광역시,남구,신정동,울산광역시 남구 신정동,35.5510418,129.260725
'170123005854152,울산광역시,남구,신정동,울산광역시 남구 신정동,35.5510418,129.260725
'170123061426070,울산광역시,중구,유곡동,울산광역시 중구 유곡동,35.5510418,129.260725
'170123093559226,울산광역시,중구,태화동,울산광역시 중구 태화동,35.5510418,129.260725
'170123145351213,울산광역시,남구,신정동,울산광역시 남구 신정동,35.5510418,129.260725
'170123172151423,울산광역시,동구,방어동,울산광역시 동구 방어동,35.5510418,129.260725
'170123173340259,울산광역시,울주군,온양읍,울산광역시 울주군 온양읍,35.5510418,129.260725
'170123230134726,울산광역시,남구,달동,울산광역시 남구 달동,35.5510418,129.260725
'170124051837813,울산광역시,북구,호계동,울산광역시 북구 호계동,35.5510418,129.260725
'170124132133626,울산광역시,남구,여천동,울산광역시 남구 여천동,35.5510418,129.260725
'170124163328833,울산광역시,중구,복산동,울산광역시 중구 복산동,35.5510418,129.260725
'170124200020327,울산광역시,중구,서동,울산광역시 중구 서동,35.5510418,129.260725
'170124221435641,울산광역시,북구,달천동,울산광역시 북구 달천동,35.5510418,129.260725
'170125012215071,울산광역시,울주군,삼동면,울산광역시 울주군 삼동면,35.5510418,129.260725
'170125015739254,울산광역시,남구,신정동,울산광역시 남구 신정동,35.5510418,129.260725
'170125154213196,울산광역시,울주군,웅촌면,울산광역시 울주군 웅촌면,35.4346298,129.3146114
'170125184406620,울산광역시,남구,선암동,울산광역시 남구 선암동,35.4346298,129.3146114
'170125180812424,울산광역시,중구,유곡동,울산광역시 중구 유곡동,35.4346298,129.3146114
'170126131806848,울산광역시,중구,성안동,울산광역시 중구 성안동,35.4346298,129.3146114
'170126163719662,울산광역시,남구,야음동,울산광역시 남구 야음동,35.4346298,129.3146114
'170126200253756,울산광역시,울주군,두동면,울산광역시 울주군 두동면,35.4346298,129.3146114
'170126174844339,울산광역시,북구,양정동,울산광역시 북구 양정동,35.4346298,129.3146114
'170126203254469,울산광역시,울주군,범서읍,울산광역시 울주군 범서읍,35.4346298,129.3146114
'170126210943240,울산광역시,울주군,온양읍,울산광역시 울주군 온양읍,35.4346298,129.3146114
'170127001921682,울산광역시,중구,남외동,울산광역시 중구 남외동,35.4346298,129.3146114
'170127033830806,울산광역시,울주군,삼남면,울산광역시 울주군 삼남면,35.4346298,129.3146114
'170127195543631,울산광역시,북구,중산동,울산광역시 북구 중산동,35.4346298,129.3146114
'170127213933182,울산광역시,남구,무거동,울산광역시 남구 무거동,35.4346298,129.3146114
'170128002206712,울산광역시,동구,방어동,울산광역시 동구 방어동,35.4346298,129.3146114
'170128045433861,울산광역시,북구,천곡동,울산광역시 북구 천곡동,35.4346298,129.3146114
'170128143343262,울산광역시,울주군,삼남면,울산광역시 울주군 삼남면,35.4346298,129.3146114
'170128130911241,울산광역시,울주군,서생면,울산광역시 울주군 서생면,35.4346298,129.3146114
'170128143003683,울산광역시,울주군,삼동면,울산광역시 울주군 삼동면,35.4346298,129.3146114
'170128232818403,울산광역시,남구,삼산동,울산광역시 남구 삼산동,35.4346298,129.3146114
'170130083117793,울산광역시,북구,매곡동,울산광역시 북구 매곡동,35.4346298,129.3146114
'170130231240046,울산광역시,남구,삼산동,울산광역시 남구 삼산동,35.4346298,129.3146114
'170131151218816,울산광역시,남구,신정동,울산광역시 남구 신정동,35.4346298,129.3146114
'170131210232281,울산광역시,남구,무거동,울산광역시 남구 무거동,35.4346298,129.3146114
'170131234457794,울산광역시,남구,선암동,울산광역시 남구 선암동,35.4346298,129.3146114
'170201094147838,울산광역시,울주군,삼남면,울산광역시 울주군 삼남면,35.4346298,129.3146114
'170201141720393,울산광역시,남구,신정동,울산광역시 남구 신정동,35.4346298,129.3146114
'170201173241702,울산광역시,울주군,청량면,울산광역시 울주군 청량면,35.4346298,129.3146114
'170202085409232,울산광역시,남구,삼산동,울산광역시 남구 삼산동,35.4346298,129.3146114
'170202130229718,울산광역시,동구,화정동,울산광역시 동구 화정동,35.4346298,129.3146114
'170202114450592,울산광역시,중구,성남동,울산광역시 중구 성남동,35.4346298,129.3146114
'170202160550495,울산광역시,울주군,삼남면,울산광역시 울주군 삼남면,35.4346298,129.3146114
'170202170439795,울산광역시,울주군,언양읍,울산광역시 울주군 언양읍,35.4346298,129.3146114
'170202223815841,울산광역시,중구,교동,울산광역시 중구 교동,35.4346298,129.3146114
'170203020119784,울산광역시,남구,달동,울산광역시 남구 달동,35.4346298,129.3146114
'170203030938021,울산광역시,남구,달동,울산광역시 남구 달동,35.4346298,129.3146114
'170203083952979,울산광역시,울주군,청량면,울산광역시 울주군 청량면,35.4346298,129.3146114
'170203170251520,울산광역시,울주군,두서면,울산광역시 울주군 두서면,35.4346298,129.3146114
'170203211556640,울산광역시,동구,방어동,울산광역시 동구 방어동,35.4346298,129.3146114
'170203224804129,울산광역시,중구,성안동,울산광역시 중구 성안동,35.4346298,129.3146114
'170203234711659,울산광역시,남구,무거동,울산광역시 남구 무거동,35.4346298,129.3146114
'170204103051622,울산광역시,울주군,삼동면,울산광역시 울주군 삼동면,35.4346298,129.3146114
'170204133742032,울산광역시,북구,정자동,울산광역시 북구 정자동,35.4346298,129.3146114
'170204214848674,울산광역시,울주군,삼남면,울산광역시 울주군 삼남면,35.4346298,129.3146114
'170206162921497,울산광역시,남구,야음동,울산광역시 남구 야음동,35.4346298,129.3146114
'170206194728315,울산광역시,울주군,삼동면,울산광역시 울주군 삼동면,35.4346298,129.3146114
'170206231628461,울산광역시,중구,학성동,울산광역시 중구 학성동,35.4346298,129.3146114
'170207145424478,울산광역시,울주군,범서읍,울산광역시 울주군 범서읍,35.4346298,129.3146114
'170207225425028,울산광역시,남구,야음동,울산광역시 남구 야음동,35.4346298,129.3146114
'170208074835698,울산광역시,울주군,삼남면,울산광역시 울주군 삼남면,35.4346298,129.3146114
'170208154304710,울산광역시,울주군,웅촌면,울산광역시 울주군 웅촌면,35.4346298,129.3146114
'170208192153480,울산광역시,울주군,청량면,울산광역시 울주군 청량면,35.4346298,129.3146114
'170209111526122,울산광역시,울주군,온양읍,울산광역시 울주군 온양읍,35.4346298,129.3146114
'170209151424215,울산광역시,남구,신정동,울산광역시 남구 신정동,35.4346298,129.3146114
'170209155759973,울산광역시,중구,성남동,울산광역시 중구 성남동,35.4346298,129.3146114
'170209223925732,울산광역시,남구,달동,울산광역시 남구 달동,35.4346298,129.3146114
'170210070746178,울산광역시,북구,연암동,울산광역시 북구 연암동,35.544405,129.3318295
'170210150840624,울산광역시,울주군,상북면,울산광역시 울주군 상북면,35.544405,129.3318295
'170210143033321,울산광역시,동구,방어동,울산광역시 동구 방어동,35.544405,129.3318295
'170210202304713,울산광역시,북구,상안동,울산광역시 북구 상안동,35.544405,129.3318295
'170211061456547,울산광역시,북구,호계동,울산광역시 북구 호계동,35.544405,129.3318295
'170211140159947,울산광역시,울주군,온산읍,울산광역시 울주군 온산읍,35.544405,129.3318295
'170211142256569,울산광역시,울주군,온산읍,울산광역시 울주군 온산읍,35.544405,129.3318295
'170211144614070,울산광역시,북구,신천동,울산광역시 북구 신천동,35.544405,129.3318295
'170211215635211,울산광역시,울주군,범서읍,울산광역시 울주군 범서읍,35.544405,129.3318295
'170212193258389,울산광역시,울주군,청량면,울산광역시 울주군 청량면,35.544405,129.3318295
'170212180930470,울산광역시,북구,중산동,울산광역시 북구 중산동,35.544405,129.3318295
'170212183350802,울산광역시,중구,다운동,울산광역시 중구 다운동,35.544405,129.3318295
'170213102247846,울산광역시,남구,여천동,울산광역시 남구 여천동,35.544405,129.3318295
'170213113844725,울산광역시,울주군,서생면,울산광역시 울주군 서생면,35.544405,129.3318295
'170214142823012,울산광역시,울주군,범서읍,울산광역시 울주군 범서읍,35.544405,129.3318295
'170215004648657,울산광역시,북구,화봉동,울산광역시 북구 화봉동,35.544405,129.3318295
'170215131612751,울산광역시,울주군,온산읍,울산광역시 울주군 온산읍,35.544405,129.3318295
'170215163022610,울산광역시,울주군,상북면,울산광역시 울주군 상북면,35.544405,129.3318295
'170215174923754,울산광역시,울주군,온양읍,울산광역시 울주군 온양읍,35.544405,129.3318295
'170215214855010,울산광역시,울주군,온산읍,울산광역시 울주군 온산읍,35.544405,129.3318295
'170215205010469,울산광역시,중구,복산동,울산광역시 중구 복산동,35.544405,129.3318295
'170216142452466,울산광역시,중구,유곡동,울산광역시 중구 유곡동,35.544405,129.3318295
'170216170658302,울산광역시,울주군,서생면,울산광역시 울주군 서생면,35.544405,129.3318295
'170217030045181,울산광역시,남구,성암동,울산광역시 남구 성암동,35.544405,129.3318295
'170217152831749,울산광역시,울주군,온양읍,울산광역시 울주군 온양읍,35.544405,129.3318295
'170217203934899,울산광역시,남구,무거동,울산광역시 남구 무거동,35.544405,129.3318295
'170217211850097,울산광역시,울주군,온양읍,울산광역시 울주군 온양읍,35.544405,129.3318295
'170217214549678,울산광역시,남구,무거동,울산광역시 남구 무거동,35.544405,129.3318295
'170218164114787,울산광역시,북구,어물동,울산광역시 북구 어물동,35.544405,129.3318295
'170218191938778,울산광역시,남구,여천동,울산광역시 남구 여천동,35.544405,129.3318295
'170219142255616,울산광역시,동구,방어동,울산광역시 동구 방어동,35.544405,129.3318295
'170219153901849,울산광역시,울주군,범서읍,울산광역시 울주군 범서읍,35.544405,129.3318295
'170219194316808,울산광역시,울주군,온양읍,울산광역시 울주군 온양읍,35.544405,129.3318295
'170219195915628,울산광역시,울주군,청량면,울산광역시 울주군 청량면,35.544405,129.3318295
'170219200738317,울산광역시,동구,일산동,울산광역시 동구 일산동,35.544405,129.3318295
'170219182152560,울산광역시,남구,신정동,울산광역시 남구 신정동,35.544405,129.3318295
'170219234911078,울산광역시,남구,옥동,울산광역시 남구 옥동,35.544405,129.3318295
'170220091514078,울산광역시,북구,가대동,울산광역시 북구 가대동,35.544405,129.3318295
'170220091013856,울산광역시,울주군,상북면,울산광역시 울주군 상북면,35.544405,129.3318295
'170220132958084,울산광역시,중구,다운동,울산광역시 중구 다운동,35.544405,129.3318295
'170220165400206,울산광역시,북구,천곡동,울산광역시 북구 천곡동,35.544405,129.3318295
'170220155609116,울산광역시,울주군,온양읍,울산광역시 울주군 온양읍,35.544405,129.3318295
'170220201437242,울산광역시,북구,연암동,울산광역시 북구 연암동,35.544405,129.3318295
'170221012928338,울산광역시,중구,성안동,울산광역시 중구 성안동,35.544405,129.3318295
'170221173518203,울산광역시,동구,화정동,울산광역시 동구 화정동,35.544405,129.3318295
'170224140136377,울산광역시,남구,야음동,울산광역시 남구 야음동,35.4932195,129.305922
'170224193850668,울산광역시,중구,태화동,울산광역시 중구 태화동,35.4932195,129.305922
'170225132926621,울산광역시,울주군,청량면,울산광역시 울주군 청량면,35.4932195,129.305922
'170225164454018,울산광역시,울주군,두서면,울산광역시 울주군 두서면,35.4932195,129.305922
'170225154955731,울산광역시,동구,일산동,울산광역시 동구 일산동,35.4932195,129.305922
'170225164824615,울산광역시,남구,달동,울산광역시 남구 달동,35.4932195,129.305922
'170226141512838,울산광역시,중구,반구동,울산광역시 중구 반구동,35.4932195,129.305922
'170227152503862,울산광역시,동구,화정동,울산광역시 동구 화정동,35.4932195,129.305922
'170227155322608,울산광역시,남구,삼산동,울산광역시 남구 삼산동,35.4932195,129.305922
'170227215003309,울산광역시,울주군,두동면,울산광역시 울주군 두동면,35.4932195,129.305922
'170228125246089,울산광역시,남구,달동,울산광역시 남구 달동,35.4932195,129.305922
'170228160940545,울산광역시,울주군,범서읍,울산광역시 울주군 범서읍,35.4932195,129.305922
'170228165504919,울산광역시,북구,구유동,울산광역시 북구 구유동,35.4932195,129.305922
'170228195357770,울산광역시,울주군,웅촌면,울산광역시 울주군 웅촌면,35.4932195,129.305922
'170228235957939,울산광역시,남구,무거동,울산광역시 남구 무거동,35.4932195,129.305922
'170301124312921,울산광역시,북구,연암동,울산광역시 북구 연암동,35.4932195,129.305922
'170301123846110,울산광역시,북구,양정동,울산광역시 북구 양정동,35.4932195,129.305922
'170301173004172,울산광역시,중구,반구동,울산광역시 중구 반구동,35.4932195,129.305922
'170301201029003,울산광역시,북구,달천동,울산광역시 북구 달천동,35.4932195,129.305922
'170301214328616,울산광역시,북구,창평동,울산광역시 북구 창평동,35.4932195,129.305922
'170303150546004,울산광역시,북구,양정동,울산광역시 북구 양정동,35.4932195,129.305922
'170303185639103,울산광역시,북구,호계동,울산광역시 북구 호계동,35.4932195,129.305922
'170303170945523,울산광역시,남구,선암동,울산광역시 남구 선암동,35.4932195,129.305922
'170304062858368,울산광역시,울주군,범서읍,울산광역시 울주군 범서읍,35.4932195,129.305922
'170304094527655,울산광역시,남구,무거동,울산광역시 남구 무거동,35.4932195,129.305922
'170304144123143,울산광역시,남구,신정동,울산광역시 남구 신정동,35.4932195,129.305922
'170304161612816,울산광역시,남구,삼산동,울산광역시 남구 삼산동,35.4932195,129.305922
'170304185245412,울산광역시,울주군,온양읍,울산광역시 울주군 온양읍,35.4932195,129.305922
'170305012859163,울산광역시,울주군,청량면,울산광역시 울주군 청량면,35.4932195,129.305922
