지역,상호,타입,주소,위도,경도
울산광역시,내트럭(주)울산사업소,주유소,울산 남구 산업로 100,35.5044826,129.3206587
울산광역시,강변주유소,주유소,울산 남구 남산로 17 (무거동),35.5529318,129.2728456
울산광역시,(주)일광주유소,주유소,울산 남구 산업로 93,35.5056103,129.3178444
울산광역시,㈜좋은기름나라 상개주유소,주유소,울산 남구 산업로 92 (상개동),35.5071125,129.3203347
울산광역시,내트럭(주) 울산신항사업소,주유소,울산 남구 신항로716번길 13,35.46262,129.36427
울산광역시,래동주유소,주유소,울산 남구 산업로 156 (상개동),35.5048609,129.3107612
울산광역시,대천주유소,주유소,울산 남구 무거동 남산로 221,35.5449305,129.2927967
울산광역시,동원주유소,주유소,울산 남구 남부순환도로 5 (무거동),35.5482265,129.2880026
울산광역시,SK두왕로주유소,주유소,울산 남구 두왕로 59 (두왕동),35.5086255,129.308372
울산광역시,기센E＆R주유소,주유소,울산 남구 산업로 138 (선암동),35.5154585,129.3191132
울산광역시,태화강셀프주유소,주유소,울산 남구 남산로 249 (신정동),35.5442939,129.2955082
울산광역시,즐거운주유소,주유소,울산 남구 월평로 229 (삼산동),35.5470669,129.3298892
울산광역시,효암알뜰주유소,주유소,울산 남구 두왕로 74 (선암동),35.5099335,129.3090171
울산광역시,광신직영(흥부셀프),주유소,울산 남구 월평로 152 (신정동),35.5444224,129.3219529
울산광역시,한진주유소,주유소,울산 남구 월평로 141 (신정동),35.5446046,129.3207086
울산광역시,동신주유소,주유소,울산 남구 월평로 201 (삼산동),35.5463517,129.3269119
울산광역시,강남셀프주유소,주유소,울산 남구 남산로 322,35.5459287,129.3033887
울산광역시,동방석유(주)직영 보광주유소,주유소,울산광역시 남구  돋질로 117 (신정3동),35.5395165,129.3164423
울산광역시,은월주유소,주유소,울산 남구 봉월로 107 (신정동),35.5420541,129.3058745
울산광역시,봉월로주유소,주유소,울산 남구 봉월로 82,35.5396902,129.3058516
울산광역시,한일주유소,주유소,울산 남구 온산로 820 (두왕동),35.4997241,129.3077107
울산광역시,세일석유(주)오성주유소,주유소,울산 남구 산업로 663 (삼산동),35.544405,129.3318295
울산광역시,대양석유(주)남울산주유소,주유소,울산 남구 꽃대나리로 105 (삼산동),35.533571,129.3360171
울산광역시,지에스칼텍스(주)다운타운주유소,주유소,울산 남구 화합로 61,35.5303299,129.3411064
울산광역시,대창주유소,주유소,울산 남구 산업로 617 (삼산동),35.5364342,129.3513836
울산광역시,지에스칼텍스(주)울산역주유소,주유소,울산 남구 산업로 677(삼산동),35.544405,129.3318295
울산광역시,구도일주유소 옥동,주유소,울산 남구 문수로 308 (옥동),35.5353227,129.2870498
울산광역시,아름다운주유소,주유소,울산 남구 번영로 76 (달동),35.5325294,129.3305016
