정류소명,정류소코드,경도,위도,권역
관성입구,2013,129.4500489,35.66442918,경주시
관성입구,2014,129.4502486,35.66434246,경주시
관성,2015,129.4502907,35.6637178,경주시
관성,2016,129.4504301,35.66363999,경주시
나아리,2026,129.4704413,35.70029801,경주시
나아리,2027,129.4705621,35.70028623,경주시
월성원자력홍보관,2028,129.4706865,35.70292969,경주시
월성원자력홍보관,2029,129.4705685,35.70290734,경주시
범곡,2059,129.0547106,35.71820127,경주시
수렴마을,2081,129.462586,35.6664064,경주시
수렴마을,2082,129.4626224,35.66651152,경주시
수렴리,2095,129.4633503,35.67083839,경주시
수렴리,2096,129.4629455,35.67114289,경주시
하서,2100,129.4619022,35.67577293,경주시
월성원자력사택,2126,129.4729715,35.69683232,경주시
월성원자력사택,2128,129.473198,35.6966576,경주시
읍천,2132,129.4731916,35.69269554,경주시
"읍천,읍천항",2133,129.4729183,35.6911448,경주시
지경마을,2149,129.4479533,35.65157809,경주시
지경마을,2150,129.4485609,35.65138024,경주시
진리,2151,129.4678612,35.68127656,경주시
진리,2152,129.4675638,35.68134686,경주시
하서,2163,129.4619821,35.67597205,경주시
양남중학교,2183,129.4619302,35.67403452,경주시
양남중학교,2184,129.4620149,35.67405081,경주시
하서2리,2185,129.4641896,35.68016698,경주시
읍천항,2186,129.4739955,35.68948944,경주시
하서2리,2187,129.464089,35.68021634,경주시
고려제강양산공장,2668,129.0504219,35.38359534,양산시
양산종합운동장,2811,129.0339437,35.34291126,양산시
고강리,3018,129.058484,35.70472134,경주시
범곡,3018,129.0547827,35.71833665,경주시
고강리,3019,129.0587716,35.70376149,경주시
국민청소년수련관,3028,129.0611585,35.74124069,경주시
국민청소년수련관,3029,129.0612647,35.74123115,경주시
내일2리 소태,3032,129.0689278,35.76235937,경주시
내일2리 소태,3033,129.0690771,35.76251571,경주시
대현3리A지구 외항,3048,129.0646002,35.65432884,경주시
대현3리A지구 외항,3049,129.0646977,35.65436272,경주시
대현3리B지구,3050,129.0589135,35.6640933,경주시
대현3리B지구,3051,129.0591702,35.66376015,경주시
대현3리A지구,3052,129.0553909,35.66942269,경주시
대현3리C지구,3053,129.0553215,35.66935404,경주시
동골,3061,129.0523472,35.68788555,경주시
동골,3062,129.0524627,35.68786894,경주시
동편,3065,129.0592064,35.73541936,경주시
동편,3066,129.0590446,35.73535981,경주시
산내정류소,3098,129.045425,35.7573136,경주시
산내정류소,3099,129.0453626,35.75765549,경주시
산내초등학교,3100,129.0465179,35.75399459,경주시
산내초등학교,3101,129.0464607,35.7539335,경주시
삼창농원,3106,129.0506101,35.68084197,경주시
삼창농원,3107,129.0507145,35.68082959,경주시
서편,3123,129.0582565,35.72837215,경주시
서편,3124,129.0580007,35.72838386,경주시
윗동골,3194,129.0571451,35.69243327,경주시
윗동골,3195,129.0573012,35.69231154,경주시
윗중리,3198,129.051798,35.67500624,경주시
윗중리,3199,129.0519059,35.67501566,경주시
점태골,3208,129.0600534,35.73728865,경주시
점태골,3209,129.0601492,35.73724901,경주시
정원숯불 중리,3210,129.0525046,35.67336452,경주시
정원숯불 중리,3211,129.0524062,35.6733493,경주시
고려제강양산공장,3442,129.0499975,35.38374614,양산시
세광병원,3666,129.0886132,35.49963292,양산시
해운대청소년수련원,4354,129.0809252,35.46185791,양산시
해운대청소년수련원,4355,129.0807058,35.46199131,양산시
성천마을,4361,129.0888829,35.48009087,양산시
통도사자비도량,4362,129.0901613,35.483317,양산시
양산역,4414,129.0265001,35.33851548,양산시
양산역,4415,129.0267405,35.33836479,양산시
구터미널,4420,129.0352629,35.34390744,양산시
구터미널,4421,129.0354113,35.34369303,양산시
양산종합운동장,4422,129.0333919,35.34212924,양산시
서이동,4424,129.0316267,35.33954566,양산시
서이동,4425,129.0314286,35.33919808,양산시
양산역환승센터,4518,129.025616,35.33739745,양산시
양산역환승센터,4519,129.0258422,35.33726994,양산시
신도시현대.청어람,4525,129.0330496,35.33437148,양산시
신도시현대.청어람,4526,129.0330779,35.33460322,양산시
대석휴먼시아,4541,129.0532127,35.38909824,양산시
대석휴먼시아,4542,129.053637,35.38885472,양산시
희락원,4618,129.087314,35.29335475,양산시
희락원,4619,129.0877244,35.29382955,양산시
대룡마을,4620,129.0884704,35.29090895,양산시
대룡마을,4621,129.0889509,35.29089702,양산시
직장마을,4622,129.0914606,35.2853795,양산시
직장마을,4623,129.0908953,35.28541468,양산시
노포삼거리,4624,129.092712,35.27959635,양산시
노포삼거리,4625,129.0930938,35.27988576,양산시
석계정류장,4725,129.0634835,35.41455105,양산시
석계정류장,4726,129.0632288,35.4146207,양산시
신기주공아파트,4832,129.0383606,35.35344309,양산시
북정성원네오파트,4835,129.0410937,35.3603484,양산시
베데스다병원,4836,129.0435729,35.35388757,양산시
신기주공아파트,4867,129.0377523,35.35314199,양산시
베데스다병원,4870,129.0431911,35.35404992,양산시
북정성원네오파트,4871,129.0406552,35.36044124,양산시
북정공단,4872,129.0424752,35.36519732,양산시
방기,5067,129.0895473,35.50524626,양산시
수렴,5406,129.4577716,35.66724703,경주시
수렴,5407,129.4572336,35.66703164,경주시
중앙여고,11101,129.3435994,35.55321902,울산광역시
중앙여고,11102,129.3436213,35.5533087,울산광역시
강변이편한세상,11104,129.347783,35.55444066,울산광역시
강변이편한세상,11105,129.346563,35.55466941,울산광역시
대산빌라,11106,129.3474516,35.55293966,울산광역시
대산빌라,11107,129.3473022,35.55287274,울산광역시
약사아이파크,11201,129.3393257,35.57241144,울산광역시
약사아이파크,11202,129.3392538,35.57340562,울산광역시
약사중학교,11203,129.3401627,35.56976683,울산광역시
약사중학교,11204,129.3402082,35.57033389,울산광역시
선우시장,11205,129.3428227,35.56868375,울산광역시
선우시장,11206,129.3422645,35.56890697,울산광역시
선우시장,11207,129.3414458,35.56866654,울산광역시
한국폴리텍대학앞,11301,129.3489688,35.57939889,울산광역시
한국폴리텍대학앞,11302,129.3488391,35.57975509,울산광역시
산전교앞,11303,129.3499393,35.57770245,울산광역시
산전교앞,11304,129.3499497,35.57794531,울산광역시
산전마을,11305,129.3503997,35.57442417,울산광역시
산전마을,11306,129.3505253,35.57442735,울산광역시
현대골든아파트앞,11307,129.3496292,35.57195771,울산광역시
현대골든아파트앞,11308,129.3501983,35.57262531,울산광역시
외솔중학교,11400,129.3424915,35.58455332,울산광역시
성혜마을,11401,129.3452495,35.59632409,울산광역시
성혜마을,11402,129.3452562,35.59641091,울산광역시
바깥시례,11403,129.3387807,35.59603764,울산광역시
바깥시례,11404,129.3388791,35.5958288,울산광역시
