버정거리총합,상호개수,교통사고건수,보호구역개수,화재발생건수,주유소명,주소,위도,경도
0.259385666,0.486486486,0.084650113,0.105263158,0.203125,내트럭(주)울산사업소,울산 남구 산업로 100,35.5044826,129.3206587
0.539249147,0.297297297,0.299097065,0.561403509,0.265625,강변주유소,울산 남구 남산로 17 (무거동),35.5529318,129.2728456
0.225255973,0.513513514,0.083521445,0.087719298,0.213541667,(주)일광주유소,울산 남구 산업로 93,35.5056103,129.3178444
0.307167235,0.459459459,0.099322799,0.210526316,0.046875,㈜좋은기름나라 상개주유소,울산 남구 산업로 92 (상개동),35.5071125,129.3203347
0.037542662,0,0.010158014,0,0.036458333,내트럭(주) 울산신항사업소,울산 남구 신항로716번길 13,35.46262,129.36427
0.235494881,0.486486486,0.085778781,0.070175439,0.177083333,래동주유소,울산 남구 산업로 156 (상개동),35.5048609,129.3107612
0.634812287,0.486486486,0.404063205,0.596491228,0.432291667,대천주유소,울산 남구 무거동 남산로 221,35.5449305,129.2927967
0.539249147,0.513513514,0.294582393,0.49122807,0.135416667,동원주유소,울산 남구 남부순환도로 5 (무거동),35.5482265,129.2880026
0.249146758,0.459459459,0.084650113,0.105263158,0.177083333,SK두왕로주유소,울산 남구 두왕로 59 (두왕동),35.5086255,129.308372
0.546075085,0.594594595,0.195259594,0.50877193,0.192708333,기센E＆R주유소,울산 남구 산업로 138 (선암동),35.5154585,129.3191132
0.679180887,0.513513514,0.435665914,0.701754386,0.432291667,태화강셀프주유소,울산 남구 남산로 249 (신정동),35.5442939,129.2955082
0.965870307,0.621621622,0.963882619,0.964912281,0.75,즐거운주유소,울산 남구 월평로 229 (삼산동),35.5470669,129.3298892
0.273037543,0.459459459,0.084650113,0.192982456,0.177083333,효암알뜰주유소,울산 남구 두왕로 74 (선암동),35.5099335,129.3090171
1,0.702702703,0.891647856,0.894736842,0.973958333,광신직영(흥부셀프),울산 남구 월평로 152 (신정동),35.5444224,129.3219529
0.996587031,0.72972973,0.861173815,0.912280702,1,한진주유소,울산 남구 월평로 141 (신정동),35.5446046,129.3207086
0.976109215,0.72972973,1,0.842105263,0.776041667,동신주유소,울산 남구 월평로 201 (삼산동),35.5463517,129.3269119
0.85665529,0.594594595,0.542889391,0.964912281,0.677083333,강남셀프주유소,울산 남구 남산로 322,35.5459287,129.3033887
0.969283276,0.72972973,0.861173815,0.98245614,0.822916667,동방석유(주)직영 보광주유소,울산광역시 남구  돋질로 117 (신정3동),35.5395165,129.3164423
0.836177474,0.675675676,0.571106095,0.842105263,0.677083333,은월주유소,울산 남구 봉월로 107 (신정동),35.5420541,129.3058745
0.774744027,0.648648649,0.476297968,0.771929825,0.598958333,봉월로주유소,울산 남구 봉월로 82,35.5396902,129.3058516
0.208191126,0.486486486,0.041760722,0.087719298,0.177083333,한일주유소,울산 남구 온산로 820 (두왕동),35.4997241,129.3077107
0.890784983,0.702702703,0.941309255,0.964912281,0.640625,세일석유(주)오성주유소,울산 남구 산업로 663 (삼산동),35.544405,129.3318295
0.771331058,0.918918919,0.785553047,0.842105263,0.567708333,대양석유(주)남울산주유소,울산 남구 꽃대나리로 105 (삼산동),35.533571,129.3360171
0.651877133,0.756756757,0.723476298,0.666666667,0.447916667,지에스칼텍스(주)다운타운주유소,울산 남구 화합로 61,35.5303299,129.3411064
0.348122867,0.567567568,0.511286682,0.368421053,0.328125,대창주유소,울산 남구 산업로 617 (삼산동),35.5364342,129.3513836
0.890784983,0.702702703,0.941309255,0.964912281,0.640625,지에스칼텍스(주)울산역주유소,울산 남구 산업로 677(삼산동),35.544405,129.3318295
0.372013652,0.432432432,0.246049661,0.403508772,0.354166667,구도일주유소 옥동,울산 남구 문수로 308 (옥동),35.5353227,129.2870498
0.870307167,1,0.844243792,0.929824561,0.567708333,아름다운주유소,울산 남구 번영로 76 (달동),35.5325294,129.3305016
0.494880546,0.135135135,0.170428894,0.403508772,0.1875,삼일주유소,울산 남구 대학로 41 (무거동),35.5395202,129.256536
0.37883959,0.432432432,0.258465011,0.438596491,0.057291667,지에스칼텍스(주)고속주유소,울산 남구 문수로 279,35.5363394,129.2841726
0.795221843,0.702702703,0.744920993,0.789473684,0.598958333,신대동주유소,울산 남구 수암로 199 (야음동),35.5268567,129.3289382
0.726962457,0.702702703,0.797968397,0.789473684,0.453125,(주)대양씨앤씨 평창주유소,울산 남구 돋질로 297,35.5445185,129.3373428
0.549488055,0.648648649,0.661399549,0.49122807,0.395833333,대양석유(주)돌고래주유소,울산 남구 돋질로 363,35.5440644,129.3447878
0.730375427,0.567567568,0.451467269,0.859649123,0.630208333,고바우주유소,울산 남구 두왕로 244 (신정동),35.5254602,129.3129138
0.645051195,0.702702703,0.735891648,0.701754386,0.395833333,구도일주유소동운,울산 남구 화합로 202 (삼산동),35.5427843,129.3398702
0.249146758,0.486486486,0.084650113,0.070175439,0.177083333,동해주유소,울산 남구 두왕로 38 (선암동),35.5066947,129.3092192
0.177474403,0.486486486,0.085778781,0.052631579,0.213541667,(주)좋은기름나라 금강주유소지점,울산 남구 상개로 214 (상개동),35.5031644,129.3174859
0.273037543,0.135135135,0.153498871,0.280701754,0.067708333,갈현주유소,울산 남구 남부순환도로 453 (옥동),35.5230349,129.290623
0.675767918,0.756756757,0.541760722,0.736842105,0.364583333,동린주유소,울산 남구 산업로 71 (선암동),35.5209167,129.325211
0.23890785,0.486486486,0.088036117,0.105263158,0.177083333,광천오일뱅크,울산 남구 온산로 845 (두왕동),35.5021265,129.3080076
0.56996587,0.621621622,0.691873589,0.49122807,0.244791667,(주)투게더주유소,울산 남구 신화로 101 (야음동),35.5258543,129.3410815
0.877133106,0.648648649,0.72234763,1,0.864583333,SK달동맥주유소,울산 남구 도산로 5 (달동),35.5324018,129.3160937
