,주유소명,주소,버정거리총합,상호개수,교통사고건수,보호구역개수,화재발생건수,총 가중치
0,내트럭(주)울산사업소,울산 남구 산업로 100,78,18,75,6,39,0
1,강변주유소,울산 남구 남산로 17 (무거동),160,11,265,32,51,0
2,(주)일광주유소,울산 남구 산업로 93,68,19,74,5,41,0
3,㈜좋은기름나라 상개주유소,울산 남구 산업로 92 (상개동),92,17,88,12,9,0
4,내트럭(주) 울산신항사업소,울산 남구 신항로716번길 13,13,0,9,0,7,0
5,래동주유소,울산 남구 산업로 156 (상개동),71,18,76,4,34,0
6,대천주유소,울산 남구 무거동 남산로 221,188,18,358,34,83,0
7,동원주유소,울산 남구 남부순환도로 5 (무거동),160,19,261,28,26,0
8,SK두왕로주유소,울산 남구 두왕로 59 (두왕동),75,17,75,6,34,0
9,기센E＆R주유소,울산 남구 산업로 138 (선암동),162,22,173,29,37,0
10,태화강셀프주유소,울산 남구 남산로 249 (신정동),201,19,386,40,83,0
11,즐거운주유소,울산 남구 월평로 229 (삼산동),285,23,854,55,144,0
12,효암알뜰주유소,울산 남구 두왕로 74 (선암동),82,17,75,11,34,0
13,광신직영(흥부셀프),울산 남구 월평로 152 (신정동),295,26,790,51,187,0
14,한진주유소,울산 남구 월평로 141 (신정동),294,27,763,52,192,0
15,동신주유소,울산 남구 월평로 201 (삼산동),288,27,886,48,149,0
16,강남셀프주유소,울산 남구 남산로 322,253,22,481,55,130,0
17,동방석유(주)직영 보광주유소,울산광역시 남구  돋질로 117 (신정3동),286,27,763,56,158,0
18,은월주유소,울산 남구 봉월로 107 (신정동),247,25,506,48,130,0
19,봉월로주유소,울산 남구 봉월로 82,229,24,422,44,115,0
20,한일주유소,울산 남구 온산로 820 (두왕동),63,18,37,5,34,0
21,세일석유(주)오성주유소,울산 남구 산업로 663 (삼산동),263,26,834,55,123,0
22,대양석유(주)남울산주유소,울산 남구 꽃대나리로 105 (삼산동),228,34,696,48,109,0
23,지에스칼텍스(주)다운타운주유소,울산 남구 화합로 61,193,28,641,38,86,0
24,대창주유소,울산 남구 산업로 617 (삼산동),104,21,453,21,63,0
25,지에스칼텍스(주)울산역주유소,울산 남구 산업로 677(삼산동),263,26,834,55,123,0
26,구도일주유소 옥동,울산 남구 문수로 308 (옥동),111,16,218,23,68,0
27,아름다운주유소,울산 남구 번영로 76 (달동),257,37,748,53,109,0
28,삼일주유소,울산 남구 대학로 41 (무거동),147,5,151,23,36,0
29,지에스칼텍스(주)고속주유소,울산 남구 문수로 279,113,16,229,25,11,0
30,신대동주유소,울산 남구 수암로 199 (야음동),235,26,660,45,115,0
31,(주)대양씨앤씨 평창주유소,울산 남구 돋질로 297,215,26,707,45,87,0
32,대양석유(주)돌고래주유소,울산 남구 돋질로 363,163,24,586,28,76,0
33,고바우주유소,울산 남구 두왕로 244 (신정동),216,21,400,49,121,0
34,구도일주유소동운,울산 남구 화합로 202 (삼산동),191,26,652,40,76,0
35,동해주유소,울산 남구 두왕로 38 (선암동),75,18,75,4,34,0
36,(주)좋은기름나라 금강주유소지점,울산 남구 상개로 214 (상개동),54,18,76,3,41,0
37,갈현주유소,울산 남구 남부순환도로 453 (옥동),82,5,136,16,13,0
38,동린주유소,울산 남구 산업로 71 (선암동),200,28,480,42,70,0
39,광천오일뱅크,울산 남구 온산로 845 (두왕동),72,18,78,6,34,0
40,(주)투게더주유소,울산 남구 신화로 101 (야음동),169,23,613,28,47,0
41,SK달동맥주유소,울산 남구 도산로 5 (달동),259,24,640,57,166,0
42,(주)종하아이앤씨 문수로주유소,울산 남구 문수로 427 (신정동),188,19,346,34,104,0
43,광신석유(주)직영 울산대교주유소,울산 남구 장생포로 240 (매암동),35,1,28,1,22,0
44,구도일주유소 대학로,울산 남구 대학로 116 (무거동),161,7,192,26,36,0
45,동방석유(주) 호돌이주유소,울산 남구 용잠로 65 (부곡동),43,7,8,1,9,0
46,완성주유소,울산 남구 온산로 839 (두왕동),67,19,43,6,34,0
47,야음주유소,울산 남구 여천로 79,157,22,515,26,47,0
48,문화주유소,울산 남구 여천로 71 (야음동),159,22,513,26,47,0
49,현대오일뱅크 동남주유소,울산 남구 수암로 96 (신정동),246,21,693,56,121,0
50,유명주유소,울산 남구 꽃대나리로 15 (달동),250,35,757,51,109,0
51,(주)삼양주유소,울산 남구 장생포로 79 (여천동),67,14,118,5,50,0
52,지에스칼텍스(주)수정주유소,울산광역시 남구  두왕로 220 (신정동),192,22,300,43,121,0
53,SK에너지(주)삼산제일주유소,울산 남구 화합로 228 (삼산동),197,25,665,42,76,0
54,SK에너지(주)월드컵주유소,울산 남구 문수로 93 (무거동),160,7,203,26,36,0
55,처용로주유소,울산 남구 처용로 92 (선암동),147,25,254,27,38,0
56,기은주유소,울산 남구 산업로 107 (상개동),111,19,135,17,9,0
57,SK에너지직영 남산주유소,울산 남구 남부순환도로 75 (옥동),165,9,163,28,36,0
58,흥남주유소,울산 남구 봉월로 94 (신정동),239,24,487,44,130,0
59,SK코끼리주유소,울산 남구 꽃대나리로 27 (달동),244,34,757,52,109,0
60,광신석유(주)직영 여천주유소,울산 남구 장생포로 17 (여천동),99,20,220,15,47,0
61,신오주유소,울산 남구 수암로 356 (야음동),121,20,224,20,47,0
62,신새벽주유소,울산 남구 수암로 269 (야음동),193,26,503,33,47,0
