시도,행정구,"교육
(지원)청",학교급,"고등학교
유형",KEDI 학제,학교명,우편번호,주소,위도,경도
전북,전주시,전북,고등학교,일반고,일반고등학교,전북대학교사범대학부설고등학교,54896,전라북도 전주시 덕진구 백제대로 567(금암동. 전북대학교),35.8467324,127.1293672
전북,전주시,전북,고등학교,일반고,일반고등학교,전라고등학교,54836,전라북도 전주시 덕진구 솔내7길 25(송천동1가. 전라고등학교),35.8599663,127.1248906
전북,전주시,전북,고등학교,일반고,일반고등학교,전주고등학교,55007,전라북도 전주시 완산구 권삼득로 2(중노송동. 전주고등학교),35.8253876,127.1518334
전북,전주시,전북,고등학교,일반고,일반고등학교,전주솔내고등학교,54835,전라북도 전주시 덕진구 송천중앙로 170(송천동1가.전주솔내고등학교),35.8623827,127.1228352
전북,전주시,전북,고등학교,일반고,일반고등학교,전주여자고등학교,54927,전라북도 전주시 덕진구 모래내6길 14(인후동2가.전주여자고등학교),35.8362484,127.1464424
전북,전주시,전북,고등학교,일반고,일반고등학교,전주제일고등학교,55034,전라북도 전주시 완산구 관선5길 15. 전주제일고등학교 (남노송동),35.821542,127.1583634
전북,전주시,전북,고등학교,일반고,일반고등학교,한국전통문화고등학교,55142,전라북도 전주시 완산구 중인1길 68-13(중인동.한국전통문화고등학교),35.7725319,127.0978122
전북,전주시,전북,고등학교,일반고,일반고등학교,전주근영여자고등학교,54984,전라북도 전주시 완산구 영경1길 11(중화산동2가),35.8193649,127.1251033
전북,전주시,전북,고등학교,일반고,일반고등학교,전주기전여자고등학교,54960,전라북도 전주시 완산구 유연로 133(효자동3가),35.8263253,127.1008682
전북,전주시,전북,고등학교,일반고,일반고등학교,동암고등학교,55065,전라북도 전주시 완산구 소태정4길 1(효자동2가. 동암고등학교),35.8062554,127.1011663
전북,전주시,전북,고등학교,자율고,일반고등학교,상산고등학교,55081,전라북도 전주시 완산구 거마평로 130(효자동1가. 상산고등학교),35.8044177,127.1186993
전북,전주시,전북,고등학교,일반고,일반고등학교,전주성심여자고등학교,55044,전라북도 전주시 완산구 경기전길 130.전주성심여자고등학교,35.8124598,127.1508597
전북,전주시,전북,고등학교,일반고,일반고등학교,전주신흥고등학교,54989,전라북도 전주시 완산구 서원로 399. 전주신흥고등학교 (중화산동1가)188,35.8171373,127.1373054
전북,전주시,전북,고등학교,일반고,일반고등학교,전주영생고등학교,55069,전라북도 전주시 완산구 천잠로 333(효자동3가.영생고등학교),35.815915,127.093367
전북,전주시,전북,고등학교,일반고,일반고등학교,전주대학교사범대학부설고등학교,55069,전라북도 전주시 완산구 천잠로 313(효자동3가. 전주사대부설고등학교),35.8152839,127.0938047
전북,전주시,전북,고등학교,일반고,일반고등학교,완산고등학교,55071,전라북도 전주시 완산구 능안자구길 55(삼천동3가.완산고등학교),35.8022781,127.0836739
전북,전주시,전북,고등학교,일반고,일반고등학교,우석고등학교,54847,전라북도 전주시 덕진구 쪽구름2길 22(동산동.우석고등학교),35.8745381,127.0780878
전북,전주시,전북,고등학교,일반고,일반고등학교,전북여자고등학교,54849,전라북도 전주시 덕진구 여산로 232(고랑동. 전북여자고등학교),35.8733251,127.0850052
전북,전주시,전북,고등학교,일반고,일반고등학교,유일여자고등학교,54914,전라북도 전주시 덕진구 안덕원로 301(인후동1가),35.8393054,127.1592097
전북,전주시,전북,고등학교,일반고,일반고등학교,전일고등학교,54965,전라북도 전주시 완산구 우전로 249(효자동2가. 전일고등학교),35.8156925,127.0997562
전북,전주시,전북,고등학교,일반고,일반고등학교,전주중앙여자고등학교,55021,전라북도 전주시 덕진구 석소로 25(인후동1가),35.8284995,127.1687677
전북,전주시,전북,고등학교,일반고,일반고등학교,전주한일고등학교,54940,전라북도 전주시 완산구 백제대로 442. 전주한일고등학교 (서신동),35.8316051,127.1236895
전북,전주시,전북,고등학교,일반고,일반고등학교,전주해성고등학교,55074,전라북도 전주시 완산구 계룡산길 88(삼천동2가. 전주해성중.고등학교),35.7877802,127.1023947
전북,전주시,전북,고등학교,일반고,일반고등학교,양현고등학교,54862,전라북도 전주시 덕진구 틀못2길 9(장동),35.8407744,127.0672257
전북,전주시,전북,고등학교,일반고,일반고등학교,호남제일고등학교,54965,전라북도 전주시 완산구 서원로 53(효자동3가),35.8142852,127.0998454
