조사서번호,시도,시군구,읍면동,주소,위도,경도
'170101093018530,전라북도,전주시덕진구,호성동2가,전라북도 전주시덕진구 호성동2가,35.8763775,127.1469073
'170101100618186,전라북도,전주시덕진구,송천동2가,전라북도 전주시덕진구 송천동2가,35.8763775,127.1469073
'170101135933896,전라북도,전주시완산구,평화동2가,전라북도 전주시완산구 평화동2가,35.8763775,127.1469073
'170102054649971,전라북도,전주시덕진구,송천동1가,전라북도 전주시덕진구 송천동1가,35.8719799,127.1201996
'170102180529383,전라북도,전주시완산구,효자동3가,전라북도 전주시완산구 효자동3가,35.8719799,127.1201996
'170103055516666,전라북도,전주시덕진구,우아동3가,전라북도 전주시덕진구 우아동3가,35.8719799,127.1201996
'170103174129206,전라북도,전주시덕진구,팔복동2가,전라북도 전주시덕진구 팔복동2가,35.8719799,127.1201996
'170104211922235,전라북도,전주시덕진구,우아동3가,전라북도 전주시덕진구 우아동3가,35.8719799,127.1201996
'170105160402251,전라북도,전주시완산구,평화동2가,전라북도 전주시완산구 평화동2가,35.8719799,127.1201996
'170105162414514,전라북도,전주시완산구,평화동2가,전라북도 전주시완산구 평화동2가,35.8719799,127.1201996
'170105201729986,전라북도,전주시덕진구,인후동1가,전라북도 전주시덕진구 인후동1가,35.8719799,127.1201996
'170106191135955,전라북도,전주시완산구,효자동3가,전라북도 전주시완산구 효자동3가,35.8719799,127.1201996
'170106203101340,전라북도,전주시덕진구,덕진동1가,전라북도 전주시덕진구 덕진동1가,35.8719799,127.1201996
'170106233643926,전라북도,전주시완산구,상림동,전라북도 전주시완산구 상림동,35.8719799,127.1201996
'170106235904663,전라북도,전주시완산구,효자동2가,전라북도 전주시완산구 효자동2가,35.8719799,127.1201996
'170108073007779,전라북도,전주시완산구,풍남동3가,전라북도 전주시완산구 풍남동3가,35.7842944,127.1369686
'170110083957237,전라북도,전주시덕진구,팔복동1가,전라북도 전주시덕진구 팔복동1가,35.7842944,127.1369686
