,Unnamed: 0,사고번호,사고일시,요일,시군구,도로명,주소,위도,경도
0,0,2.02E+15,2019년 6월 6일 19시,목요일,전라북도 전주시 완산구 중앙동1가,충경로,전라북도 전주시 완산구 중앙동1가충경로,35.8180176,127.1454519
1,1,2.02E+15,2019년 9월 30일 13시,월요일,전라북도 전주시 완산구 중앙동1가,전주객사2길,전라북도 전주시 완산구 중앙동1가전주객사2길,35.8173349,127.1414535
2,2,2.02E+15,2019년 5월 6일 07시,월요일,전라북도 전주시 완산구 중앙동1가,전주객사2길,전라북도 전주시 완산구 중앙동1가전주객사2길,35.8173349,127.1414535
3,3,2.02E+15,2019년 11월 10일 20시,일요일,전라북도 전주시 완산구 중앙동2가,충경로,전라북도 전주시 완산구 중앙동2가충경로,35.8171763,127.1437816
4,4,2.02E+15,2019년 12월 18일 22시,수요일,전라북도 전주시 완산구 중앙동2가,충경로,전라북도 전주시 완산구 중앙동2가충경로,35.8171763,127.1437816
5,5,2.02E+15,2019년 5월 25일 12시,토요일,전라북도 전주시 완산구 중앙동3가,충경로,전라북도 전주시 완산구 중앙동3가충경로,35.8175905,127.1451903
6,6,2.02E+15,2019년 4월 8일 08시,월요일,전라북도 전주시 완산구 중앙동3가,충경로,전라북도 전주시 완산구 중앙동3가충경로,35.8175905,127.1451903
7,7,2.02E+15,2019년 8월 26일 13시,월요일,전라북도 전주시 완산구 중앙동3가,충경로,전라북도 전주시 완산구 중앙동3가충경로,35.8175905,127.1451903
8,8,2.02E+15,2019년 2월 9일 12시,토요일,전라북도 전주시 완산구 중앙동3가,충경로,전라북도 전주시 완산구 중앙동3가충경로,35.8175905,127.1451903
9,9,2.02E+15,2019년 6월 10일 17시,월요일,전라북도 전주시 완산구 경원동1가,충경로,전라북도 전주시 완산구 경원동1가충경로,35.8180176,127.1454519
10,10,2.02E+15,2019년 5월 15일 02시,수요일,전라북도 전주시 완산구 경원동1가,충경로,전라북도 전주시 완산구 경원동1가충경로,35.8180176,127.1454519
11,11,2.02E+15,2019년 6월 8일 14시,토요일,전라북도 전주시 완산구 경원동1가,전동성당길,전라북도 전주시 완산구 경원동1가전동성당길,35.8180551,127.1484196
12,12,2.02E+15,2019년 9월 9일 09시,월요일,전라북도 전주시 완산구 경원동1가,팔달로,전라북도 전주시 완산구 경원동1가팔달로,35.8178069,127.1473484
13,13,2.02E+15,2019년 8월 31일 08시,토요일,전라북도 전주시 완산구 경원동1가,전동성당길,전라북도 전주시 완산구 경원동1가전동성당길,35.8180551,127.1484196
14,14,2.02E+15,2019년 1월 29일 03시,화요일,전라북도 전주시 완산구 경원동1가,팔달로,전라북도 전주시 완산구 경원동1가팔달로,35.8178069,127.1473484
15,15,2.02E+15,2019년 2월 27일 12시,수요일,전라북도 전주시 완산구 경원동1가,동문길,전라북도 전주시 완산구 경원동1가동문길,35.8178069,127.1473484
16,16,2.02E+15,2019년 4월 9일 22시,화요일,전라북도 전주시 완산구 경원동1가,팔달로,전라북도 전주시 완산구 경원동1가팔달로,35.8178069,127.1473484
17,17,2.02E+15,2019년 6월 9일 07시,일요일,전라북도 전주시 완산구 경원동1가,충경로,전라북도 전주시 완산구 경원동1가충경로,35.8180176,127.1454519
18,18,2.02E+15,2019년 7월 2일 09시,화요일,전라북도 전주시 완산구 경원동1가,팔달로,전라북도 전주시 완산구 경원동1가팔달로,35.8178069,127.1473484
19,19,2.02E+15,2019년 5월 14일 15시,화요일,전라북도 전주시 완산구 경원동2가,팔달로,전라북도 전주시 완산구 경원동2가팔달로,35.8180081,127.1495322
20,20,2.02E+15,2019년 1월 24일 07시,목요일,전라북도 전주시 완산구 경원동3가,현무2길,전라북도 전주시 완산구 경원동3가현무2길,35.8167064,127.1516419
21,21,2.02E+15,2019년 9월 14일 17시,토요일,전라북도 전주시 완산구 경원동3가,충경로,전라북도 전주시 완산구 경원동3가충경로,35.8208259,127.1481759
22,22,2.02E+15,2019년 11월 17일 10시,일요일,전라북도 전주시 완산구 경원동3가,충경로,전라북도 전주시 완산구 경원동3가충경로,35.8208259,127.1481759
23,23,2.02E+15,2019년 6월 19일 05시,수요일,전라북도 전주시 완산구 경원동3가,현무3길,전라북도 전주시 완산구 경원동3가현무3길,35.8167064,127.1516419
