지역,상호,타입,주소,위도,경도
전라북도,직영충전소,충전소,전북 전주시 덕진구  혁신로 360번지,35.864542,127.0694015
전라북도,(유)삼영에너지,충전소,전북 전주시 완산구 쑥고개로 11 (용복동),35.7908099,127.0688591
전라북도,(유)푸른기업충전소,충전소,전북 전주시 완산구  모악로 4483 (석구동),35.7864603,127.1288413
전라북도,㈜진성에너지 색장충전소,충전소,전북 전주시 완산구 춘향로 4900 (색장동),35.7850864,127.1952794
전라북도,전주유성LPG충전소,충전소,전북 전주시 완산구  춘향로 4981,35.7868343,127.1938907
전라북도,한일충전소,충전소,전북 전주시 완산구 콩쥐팥쥐로 1695 (효자동3가),35.8222348,127.0843408
전라북도,전주오렌지충전소,충전소,전북 전주시 덕진구 온고을로 523,35.8537666,127.072686
전라북도,(유)동유산업 상림충전소,충전소,전북 전주시 완산구 콩쥐팥쥐로 1586,35.8247227,127.0729819
전라북도,경기장LPG충전소,충전소,전북 전주시 덕진구 원반월길 106 (장동),35.8645597,127.0616682
전라북도,서곡가스충전소,충전소,전북 전주시 완산구 온고을로 192 (효자동3가),35.8381614,127.1040332
전라북도,SK행복충전 소망가스충전소,충전소,전북 전주시 완산구 춘향로 5271,35.8002397,127.1718967
전라북도,하은충전소,충전소,전북 전주시 완산구 쑥고개로 181 (삼천동 3가),35.7991996,127.0960576
전라북도,(주)반디이원 전주점,충전소,전북 전주시 완산구 쑥고개로 330 (효자동2가),35.801944,127.1018201
전라북도,(유)일진LPG충전소,충전소,전북 전주시 완산구 우림로 1084 (중인동),35.7830064,127.1073603
전라북도,전주평화LPG충전소,충전소,전북 전주시 완산구 모악로 4601,35.7809141,127.12584
전라북도,대광LPG충전소,충전소,전북 전주시 완산구 춘향로 4881,35.7786857,127.1982269
전라북도,SK행복충전 길상LPG충전소,충전소,전북 전주시 덕진구 삼례로 115 (반월동),35.8879766,127.0767264
전라북도,SK행복충전 고랑엘피지충전소,충전소,전북 전주시 덕진구 삼례로 168,35.8929623,127.0773985
전라북도,(주)대일에너지,충전소,전북 전주시 덕진구 사거리길 8,35.8737527,127.152206
전라북도,SK행복충전 전주산정충전소,충전소,전북 전주시 덕진구 전진로 62,35.8422486,127.1752626
전라북도,동산LPG충전소,충전소,전북 전주시 덕진구 기린대로 898 (동산동),35.8631365,127.0869277
전라북도,은혜충전소,충전소,전북 전주시 덕진구  신복로 2 (팔복동1가),35.8527103,127.1123056
전라북도,SK행복충전 서림가스충전소,충전소,전북 전주시 덕진구 동부대로 844,35.8622781,127.1517989
전라북도,만남의충전소,충전소,전북 전주시 덕진구  초포다리로 194 (호성동1가),35.8731144,127.1573089
전라북도,덕진LPG충전소,충전소,전북 전주시 덕진구  동부대로 1230,35.8701752,127.1118772
전라북도,오송충전소,충전소,전북 전주시 덕진구 동부대로 1260,35.848752,127.1464411
전라북도,(유)전주에너지충전소,충전소,전북 전주시 덕진구 신복로 96 (팔복동1가),35.8583201,127.1052734
전라북도,SK행복충전 호남가스충전소,충전소,전북 전주시 덕진구 기린대로 424 (금암동),35.8410418,127.1362788
전라북도,SK행복충전 전주오케이충전소,충전소,전북 전주시 덕진구 동부대로 933,35.8675998,127.1448758
전라북도,SK행복충전 대성엘피지충전소,충전소,전북 전주시 덕진구 기린대로 930 (동산동),35.8646616,127.0837523
전라북도,(주)피더스이앤에스 완산충전소,충전소,전북 전주시 완산구 거마평로 223 (효자동1가),35.8119763,127.1137074
전라북도,SK행복충전 비사벌충전소,충전소,전라북도 전주시 덕진구  기린대로 720 (팔복동1가),35.8609153,127.0944977
전라북도,신협제2LPG충전소,충전소,전북 전주시 덕진구 기린대로 646,35.8514,127.1105068
전라북도,개인택시신용협동조합LPG충전소,충전소,전북 전주시 완산구 온고을로 180,35.8374957,127.1043307
전라북도,(유)백제주유소,주유소,전북 전주시 완산구 효자로 67-3 (효자동3가),35.8186344,127.0928224
전라북도,금성주유소,주유소,전북 전주시 덕진구 기린대로 1003 (여의동),35.8532739,127.0701587
전라북도,해오름셀프,주유소,전북 전주시 완산구 아중로 94,35.8239065,127.1606182
전라북도,베스트주유소,주유소,전북 전주시 완산구 쑥고개로 255 (효자동2가),35.8004559,127.0931795
전라북도,마당재주유소,주유소,전북 전주시 완산구 아중로 90,35.8238128,127.1602275
전라북도,해뜰날(주)효자로,주유소,전북 전주시 효자로 15,35.8209416,127.0880408
전라북도,착한13주유소,주유소,전북 전주시 완산구 춘향로 5006,35.7899112,127.1935841
전라북도,따봉주유소,주유소,전북 전주시 완산구 모악로 4485,35.7710396,127.1227884
전라북도,착한2주유소,주유소,전북 전주시 덕진구 온고을로 566,35.8563431,127.0687998
전라북도,(유)고덕물류 여의동지점,주유소,전북 전주시 덕진구 온고을로 534,35.8548409,127.0718641
전라북도,장동주유소,주유소,전북 전주시 덕진구 온고을로 644,35.8605048,127.0631697
전라북도,현대주유소,주유소,전북 전주시 완산구 춘향로 5197 (대성동),35.8003626,127.1781044
전라북도,착한5주유소,주유소,전북 전주시 덕진구 동부대로 1192,35.8701285,127.1166702
전라북도,더드림주유소,주유소,전북 전주시 덕진구 온고을로 541,35.8546006,127.0708628
전라북도,싼셀프주유소,주유소,전북 전주시 완산구 춘향로 5190,35.7993097,127.1795313
전라북도,할인주유소,주유소,전북 전주시 덕진구 온고을로 361 (팔복동3가),35.8456117,127.0900234
전라북도,웰컴주유소,주유소,전북 전주시 덕진구 감수길 87-15,35.8706645,127.0983123
전라북도,황금주유소,주유소,전북 전주시 덕진구 초포다리로 176,35.8712677,127.1584757
전라북도,서진셀프주유소,주유소,전북 전주시 완산구 유연로 48 (효자동3가),35.8233799,127.0911747
전라북도,스타주유소,주유소,전북 전주시 완산구 서원로 313 (중화산동2가),35.811965,127.1288006
전라북도,기쁨주유소,주유소,전북 전주시 완산구 춘향로 5129 (색장동),35.7971465,127.1870877
전라북도,비전주유소,주유소,전북 전주시 완산구 천잠로 217 (효자동2가),35.805586,127.1091945
전라북도,삼성Self주유소,주유소,전북 전주시 완산구 견훤왕궁로 74 (중노송동),35.8271012,127.1541168
전라북도,고덕주유소,주유소,전북 전주시 완산구 동부대로 46 (색장동),35.7999075,127.1923579
전라북도,용머리주유소,주유소,전북 전주시 완산구 용머리로 268 (서완산동1가),35.8103311,127.1393231
전라북도,참사랑주유소,주유소,전북 전주시 완산구  안행로 70 (효자동1가),35.802431,127.1354236
전라북도,대국셀프주유소,주유소,전북 전주시 완산구 안행로 65,35.8024792,127.1347327
전라북도,대한에너지,주유소,전북 전주시 덕진구 초포다리로 70,35.8623519,127.1599961
전라북도,전주농협주유소,주유소,전북 전주시 덕진구 완주로 55 (호성동2가),35.8717465,127.1487757
전라북도,남고산셀프주유소,주유소,전북 전주시 완산구 남고산성1길 10-68 (동서학동),35.8070631,127.1576897
전라북도,현대오일뱅크 동현주유소,주유소,전북 전주시 덕진구 견훤로 182 (인후동1가),35.8281207,127.1604344
전라북도,약수터주유소,주유소,전북 전주시 완산구 춘향로 5319 (대성동),35.8015535,127.1664065
전라북도,사랑주유소,주유소,전북 전주시 덕진구 번영로 477 (용정동),35.8802137,127.053357
전라북도,성덕주유소,주유소,전북 전주시 덕진구 번영로 222 (성덕동),35.8688904,127.0456464
전라북도,경기장주유소,주유소,전북 전주시 덕진구 온고을로 675 (장동),35.8560289,127.0561302
전라북도,CJ대한통운㈜ 공단주유소,주유소,전북 전주시 덕진구 팔복로 167,35.8544657,127.0887863
전라북도,역전셀프주유소,주유소,전북 전주시 덕진구  동부대로 748 (우아동3가),35.846833,127.1555889
전라북도,팔복주유소,주유소,전북 전주시 덕진구 기린대로 714,35.8545934,127.1043366
전라북도,만땅주유소,주유소,전북 전주시 덕진구 기린대로 509 (덕진동1가),35.8446227,127.1243542
전라북도,빼어날수주유소,주유소,전북 전주시 덕진구 초포다리로 100 (호성동1가),35.8649602,127.1606307
전라북도,(유)고덕물류 직영주유소,주유소,전북 전주시 덕진구 건산로 201 (인후동1가),35.8340188,127.159147
전라북도,(주)필오일싼3주유소,주유소,전라북도 전주시 완산구  천잠로 16,35.7926716,127.1097391
전라북도,소망주유소,주유소,전북 전주시 완산구  춘향로 5265 (대성동),35.7930023,127.1749153
전라북도,색장주유소,주유소,전북 전주시 완산구 춘향로 4860 (색장동),35.7774563,127.1990367
전라북도,어은터널주유소,주유소,전북 전주시 덕진구 어은로 127 (진북동),35.8240879,127.1294805
전라북도,고향주유소,주유소,전북 전주시 완산구 견훤로 87 (남노송동),35.8197738,127.1610978
전라북도,그린주유소,주유소,전북 전주시 덕진구 온고을로 462 (여의동),35.8598796,127.0743409
전라북도,행복주유소,주유소,전북 전주시 덕진구 동부대로 641 (우아동3가),35.8501591,127.1601588
전라북도,진영주유소,주유소,전북 전주시 완산구 안행로 13 (삼천동1가),35.8002583,127.1299839
전라북도,안행주유소,주유소,전북 전주시 완산구 안행로 58 (효자동1가),35.8016528,127.1343766
전라북도,낙원주유소,주유소,전북 전주시 덕진구 동부대로 624 (우아동3가),35.8501591,127.1601588
전라북도,풍천주유소,주유소,전북 전주시 완산구  구이로 2057 (평화동3가),35.7811532,127.1298592
전라북도,룰루랄라주유소,주유소,전북 전주시 완산구 장승배기로 62,35.7920862,127.1197118
전라북도,동전주주유소,주유소,전북 전주시 덕진구 전진로 14,35.8403074,127.1704499
전라북도,에코플러스주유소,주유소,전북 전주시 덕진구 과학로 258 (전미동1가),35.8921051,127.1281827
전라북도,목원주유소,주유소,전북 전주시 덕진구 전주천동로 390 (진북동),35.8287185,127.1299291
전라북도,섬진주유소,주유소,전북 전주시 덕진구 삼례로 123 (반월동),35.8886544,127.0767341
전라북도,장승배기주유소,주유소,전북 전주시 완산구 장승배기로 283,35.799559,127.142791
전라북도,행복가득주유소,주유소,전북 전주시 완산구 장승배기로 270 (평화동1가),35.7968897,127.1398584
전라북도,파크셀프주유소,주유소,전북 전주시 완산구 천잠로 517,35.8191447,127.0986127
전라북도,서린2주유소,주유소,전북 전주시 완산구 선비로 1444 (용복동),35.7901744,127.0681497
전라북도,전인주유소,주유소,전북 전주시 덕진구 혁신로 558 (여의동),35.8622528,127.0692544
