버정거리총합,상호개수,교통사고건수,보호구역개수,화재발생건수,주유소명,주소,위도,경도
0.190140845,0.852941176,0.093093093,0.177419355,0.093023256,직영충전소,전북 전주시 덕진구  혁신로 360번지,35.864542,127.0694015
0.014084507,0.088235294,0.003003003,0.064516129,0.011627907,(유)삼영에너지,전북 전주시 완산구 쑥고개로 11 (용복동),35.7908099,127.0688591
0.415492958,0.558823529,0.277777778,0.596774194,0.395348837,(유)푸른기업충전소,전북 전주시 완산구  모악로 4483 (석구동),35.7864603,127.1288413
0.021126761,0.205882353,0.018018018,0,0.034883721,㈜진성에너지 색장충전소,전북 전주시 완산구 춘향로 4900 (색장동),35.7850864,127.1952794
0.028169014,0.264705882,0.018018018,0.016129032,0.034883721,전주유성LPG충전소,전북 전주시 완산구  춘향로 4981,35.7868343,127.1938907
0.197183099,0.352941176,0.205705706,0.290322581,0.360465116,한일충전소,전북 전주시 완산구 콩쥐팥쥐로 1695 (효자동3가),35.8222348,127.0843408
0.401408451,0.794117647,0.114114114,0.193548387,0.104651163,전주오렌지충전소,전북 전주시 덕진구 온고을로 523,35.8537666,127.072686
0.176056338,0.294117647,0.069069069,0.080645161,0.406976744,(유)동유산업 상림충전소,전북 전주시 완산구 콩쥐팥쥐로 1586,35.8247227,127.0729819
0.169014085,0.735294118,0.099099099,0.193548387,0.11627907,경기장LPG충전소,전북 전주시 덕진구 원반월길 106 (장동),35.8645597,127.0616682
0.584507042,0.558823529,0.564564565,0.612903226,0.686046512,서곡가스충전소,전북 전주시 완산구 온고을로 192 (효자동3가),35.8381614,127.1040332
0.063380282,0.205882353,0.027027027,0.048387097,0,SK행복충전 소망가스충전소,전북 전주시 완산구 춘향로 5271,35.8002397,127.1718967
0.35915493,0.352941176,0.216216216,0.516129032,0.255813953,하은충전소,전북 전주시 완산구 쑥고개로 181 (삼천동 3가),35.7991996,127.0960576
0.478873239,0.470588235,0.471471471,0.661290323,0.546511628,(주)반디이원 전주점,전북 전주시 완산구 쑥고개로 330 (효자동2가),35.801944,127.1018201
0.218309859,0.294117647,0.081081081,0.306451613,0.255813953,(유)일진LPG충전소,전북 전주시 완산구 우림로 1084 (중인동),35.7830064,127.1073603
0.302816901,0.411764706,0.220720721,0.451612903,0.337209302,전주평화LPG충전소,전북 전주시 완산구 모악로 4601,35.7809141,127.12584
0.014084507,0.147058824,0.018018018,0,0,대광LPG충전소,전북 전주시 완산구 춘향로 4881,35.7786857,127.1982269
0.056338028,0.294117647,0.052552553,0.112903226,0.034883721,SK행복충전 길상LPG충전소,전북 전주시 덕진구 삼례로 115 (반월동),35.8879766,127.0767264
0,0.264705882,0.010510511,0,0.023255814,SK행복충전 고랑엘피지충전소,전북 전주시 덕진구 삼례로 168,35.8929623,127.0773985
0.169014085,0.382352941,0.072072072,0.209677419,0.093023256,(주)대일에너지,전북 전주시 덕진구 사거리길 8,35.8737527,127.152206
0.295774648,0.264705882,0.255255255,0.338709677,0.546511628,SK행복충전 전주산정충전소,전북 전주시 덕진구 전진로 62,35.8422486,127.1752626
0.232394366,1,0.123123123,0.193548387,0.220930233,동산LPG충전소,전북 전주시 덕진구 기린대로 898 (동산동),35.8631365,127.0869277
0.422535211,0.676470588,0.629129129,0.5,0.395348837,은혜충전소,전북 전주시 덕진구  신복로 2 (팔복동1가),35.8527103,127.1123056
0.281690141,0.558823529,0.288288288,0.290322581,0.197674419,SK행복충전 서림가스충전소,전북 전주시 덕진구 동부대로 844,35.8622781,127.1517989
0.14084507,0.382352941,0.058558559,0.161290323,0.093023256,만남의충전소,전북 전주시 덕진구  초포다리로 194 (호성동1가),35.8731144,127.1573089
0.288732394,0.529411765,0.21021021,0.338709677,0.325581395,덕진LPG충전소,전북 전주시 덕진구  동부대로 1230,35.8701752,127.1118772
0.598591549,0.529411765,0.71021021,0.532258065,0.558139535,오송충전소,전북 전주시 덕진구 동부대로 1260,35.848752,127.1464411
0.302816901,0.823529412,0.406906907,0.35483871,0.23255814,(유)전주에너지충전소,전북 전주시 덕진구 신복로 96 (팔복동1가),35.8583201,127.1052734
0.732394366,0.382352941,0.866366366,0.564516129,0.279069767,SK행복충전 호남가스충전소,전북 전주시 덕진구 기린대로 424 (금암동),35.8410418,127.1362788
0.345070423,0.441176471,0.126126126,0.35483871,0.23255814,SK행복충전 전주오케이충전소,전북 전주시 덕진구 동부대로 933,35.8675998,127.1448758
0.225352113,0.882352941,0.108108108,0.193548387,0.209302326,SK행복충전 대성엘피지충전소,전북 전주시 덕진구 기린대로 930 (동산동),35.8646616,127.0837523
0.781690141,0.5,0.807807808,1,0.755813953,(주)피더스이앤에스 완산충전소,전북 전주시 완산구 거마평로 223 (효자동1가),35.8119763,127.1137074
0.176056338,0.823529412,0.091591592,0.129032258,0.220930233,SK행복충전 비사벌충전소,전라북도 전주시 덕진구  기린대로 720 (팔복동1가),35.8609153,127.0944977
0.436619718,0.676470588,0.602102102,0.5,0.395348837,신협제2LPG충전소,전북 전주시 덕진구 기린대로 646,35.8514,127.1105068
0.591549296,0.588235294,0.564564565,0.629032258,0.686046512,개인택시신용협동조합LPG충전소,전북 전주시 완산구 온고을로 180,35.8374957,127.1043307
0.281690141,0.411764706,0.402402402,0.467741935,0.558139535,(유)백제주유소,전북 전주시 완산구 효자로 67-3 (효자동3가),35.8186344,127.0928224
0.415492958,0.735294118,0.10960961,0.225806452,0.093023256,금성주유소,전북 전주시 덕진구 기린대로 1003 (여의동),35.8532739,127.0701587
0.690140845,0.352941176,0.644144144,0.693548387,0.581395349,해오름셀프,전북 전주시 완산구 아중로 94,35.8239065,127.1606182
0.274647887,0.294117647,0.195195195,0.403225806,0.255813953,베스트주유소,전북 전주시 완산구 쑥고개로 255 (효자동2가),35.8004559,127.0931795
0.704225352,0.411764706,0.66966967,0.709677419,0.581395349,마당재주유소,전북 전주시 완산구 아중로 90,35.8238128,127.1602275
0.274647887,0.382352941,0.391891892,0.338709677,0.360465116,해뜰날(주)효자로,전북 전주시 효자로 15,35.8209416,127.0880408
0.028169014,0.294117647,0.018018018,0.016129032,0.034883721,착한13주유소,전북 전주시 완산구 춘향로 5006,35.7899112,127.1935841
0.070422535,0.323529412,0.06006006,0.14516129,0.151162791,따봉주유소,전북 전주시 완산구 모악로 4485,35.7710396,127.1227884
0.387323944,0.794117647,0.111111111,0.225806452,0.104651163,착한2주유소,전북 전주시 덕진구 온고을로 566,35.8563431,127.0687998
0.387323944,0.823529412,0.123123123,0.225806452,0.104651163,(유)고덕물류 여의동지점,전북 전주시 덕진구 온고을로 534,35.8548409,127.0718641
0.232394366,0.676470588,0.096096096,0.177419355,0.081395349,장동주유소,전북 전주시 덕진구 온고을로 644,35.8605048,127.0631697
0.049295775,0.235294118,0.021021021,0.016129032,0.046511628,현대주유소,전북 전주시 완산구 춘향로 5197 (대성동),35.8003626,127.1781044
0.288732394,0.470588235,0.226726727,0.370967742,0.313953488,착한5주유소,전북 전주시 덕진구 동부대로 1192,35.8701285,127.1166702
0.401408451,0.823529412,0.123123123,0.209677419,0.104651163,더드림주유소,전북 전주시 덕진구 온고을로 541,35.8546006,127.0708628
0.035211268,0.235294118,0.018018018,0.016129032,0.046511628,싼셀프주유소,전북 전주시 완산구 춘향로 5190,35.7993097,127.1795313
0.373239437,0.794117647,0.114114114,0.258064516,0.162790698,할인주유소,전북 전주시 덕진구 온고을로 361 (팔복동3가),35.8456117,127.0900234
0.126760563,0.794117647,0.078078078,0.209677419,0.313953488,웰컴주유소,전북 전주시 덕진구 감수길 87-15,35.8706645,127.0983123
0.169014085,0.411764706,0.058558559,0.161290323,0.093023256,황금주유소,전북 전주시 덕진구 초포다리로 176,35.8712677,127.1584757
0.26056338,0.470588235,0.411411411,0.403225806,0.360465116,서진셀프주유소,전북 전주시 완산구 유연로 48 (효자동3가),35.8233799,127.0911747
0.866197183,0.647058824,0.852852853,0.903225806,0.895348837,스타주유소,전북 전주시 완산구 서원로 313 (중화산동2가),35.811965,127.1288006
