,주유소명,버정거리총합,상호개수,교통사고건수,보호구역개수,화재발생건수,총 가중치
0,직영충전소,27,29,62,11,8,0
1,(유)삼영에너지,2,3,2,4,1,0
2,(유)푸른기업충전소,59,19,185,37,34,0
3,㈜진성에너지 색장충전소,3,7,12,0,3,0
4,전주유성LPG충전소,4,9,12,1,3,0
5,한일충전소,28,12,137,18,31,0
6,전주오렌지충전소,57,27,76,12,9,0
7,(유)동유산업 상림충전소,25,10,46,5,35,0
8,경기장LPG충전소,24,25,66,12,10,0
9,서곡가스충전소,83,19,376,38,59,0
10,SK행복충전 소망가스충전소,9,7,18,3,0,0
11,하은충전소,51,12,144,32,22,0
12,(주)반디이원 전주점,68,16,314,41,47,0
13,(유)일진LPG충전소,31,10,54,19,22,0
14,전주평화LPG충전소,43,14,147,28,29,0
15,대광LPG충전소,2,5,12,0,0,0
16,SK행복충전 길상LPG충전소,8,10,35,7,3,0
17,SK행복충전 고랑엘피지충전소,0,9,7,0,2,0
18,(주)대일에너지,24,13,48,13,8,0
19,SK행복충전 전주산정충전소,42,9,170,21,47,0
20,동산LPG충전소,33,34,82,12,19,0
21,은혜충전소,60,23,419,31,34,0
22,SK행복충전 서림가스충전소,40,19,192,18,17,0
23,만남의충전소,20,13,39,10,8,0
24,덕진LPG충전소,41,18,140,21,28,0
25,오송충전소,85,18,473,33,48,0
26,(유)전주에너지충전소,43,28,271,22,20,0
27,SK행복충전 호남가스충전소,104,13,577,35,24,0
28,SK행복충전 전주오케이충전소,49,15,84,22,20,0
29,SK행복충전 대성엘피지충전소,32,30,72,12,18,0
30,(주)피더스이앤에스 완산충전소,111,17,538,62,65,0
31,SK행복충전 비사벌충전소,25,28,61,8,19,0
32,신협제2LPG충전소,62,23,401,31,34,0
33,개인택시신용협동조합LPG충전소,84,20,376,39,59,0
34,(유)백제주유소,40,14,268,29,48,0
35,금성주유소,59,25,73,14,8,0
36,해오름셀프,98,12,429,43,50,0
37,베스트주유소,39,10,130,25,22,0
38,마당재주유소,100,14,446,44,50,0
39,해뜰날(주)효자로,39,13,261,21,31,0
40,착한13주유소,4,10,12,1,3,0
41,따봉주유소,10,11,40,9,13,0
42,착한2주유소,55,27,74,14,9,0
43,(유)고덕물류 여의동지점,55,28,82,14,9,0
44,장동주유소,33,23,64,11,7,0
45,현대주유소,7,8,14,1,4,0
46,착한5주유소,41,16,151,23,27,0
47,더드림주유소,57,28,82,13,9,0
48,싼셀프주유소,5,8,12,1,4,0
49,할인주유소,53,27,76,16,14,0
50,웰컴주유소,18,27,52,13,27,0
51,황금주유소,24,14,39,10,8,0
52,서진셀프주유소,37,16,274,25,31,0
53,스타주유소,123,22,568,56,77,0
54,기쁨주유소,5,10,12,1,3,0
55,비전주유소,100,18,476,51,61,0
56,삼성Self주유소,117,15,479,55,53,0
57,고덕주유소,5,9,12,1,8,0
58,용머리주유소,110,18,450,43,47,0
59,참사랑주유소,109,16,491,51,48,0
60,대국셀프주유소,110,17,488,49,48,0
61,대한에너지,32,19,178,12,17,0
62,전주농협주유소,35,14,61,16,8,0
63,남고산셀프주유소,56,12,183,19,26,0
64,현대오일뱅크 동현주유소,96,13,384,47,47,0
65,약수터주유소,20,6,12,6,7,0
66,사랑주유소,6,7,42,5,7,0
67,성덕주유소,6,8,25,2,9,0
68,경기장주유소,26,20,36,9,8,0
69,CJ대한통운㈜ 공단주유소,37,31,50,6,21,0
70,역전셀프주유소,80,21,450,34,51,0
71,팔복주유소,42,31,302,22,20,0
72,만땅주유소,95,16,593,37,62,0
73,빼어날수주유소,26,17,46,10,17,0
74,(유)고덕물류 직영주유소,110,20,426,50,50,0
75,(주)필오일싼3주유소,75,21,200,37,49,0
76,소망주유소,4,8,13,1,0,0
77,색장주유소,2,5,0,0,0,0
78,어은터널주유소,138,16,540,47,75,0
79,고향주유소,86,13,430,37,55,0
80,그린주유소,42,31,72,16,18,0
81,행복주유소,67,20,251,30,40,0
82,진영주유소,104,20,371,57,53,0
83,안행주유소,108,16,465,53,58,0
84,낙원주유소,67,20,251,30,40,0
85,풍천주유소,38,10,132,26,35,0
86,룰루랄라주유소,83,22,283,51,48,0
87,동전주주유소,64,12,239,33,47,0
88,에코플러스주유소,7,3,21,5,0,0
89,목원주유소,132,15,666,47,72,0
90,섬진주유소,6,10,33,6,3,0
91,장승배기주유소,81,14,329,41,49,0
92,행복가득주유소,73,16,269,41,45,0
93,파크셀프주유소,63,15,314,44,86,0
94,서린2주유소,2,3,1,4,1,0
95,전인주유소,33,29,71,13,7,0
96,기분조은주유소,24,27,63,11,7,0
97,평화셀프주유소,58,18,182,37,34,0
98,한옥마을주유소,118,20,437,59,64,0
99,새하늘주유소,28,9,65,18,22,0
100,행복날개주유소,60,23,262,26,19,0
101,신흥셀프주유소,87,18,463,45,43,0
102,샘물주유소,49,29,93,11,20,0
103,(주)해뜨는여의동,52,27,80,14,9,0
104,착한12주유소,21,4,29,10,15,0
105,(주)대한민국만세주유소,27,29,62,11,8,0
106,유연로주유소,94,18,488,52,69,0
107,신도시주유소,56,16,368,35,51,0
108,정동주유소,24,8,13,13,5,0
109,삼남주유소,70,17,369,36,52,0
110,고객사랑주유소,44,20,182,16,16,0
111,광명주유소,1,10,9,3,2,0
112,SK강변주유소,110,18,543,57,61,0
113,(주)새론에너지,63,17,270,27,71,0
114,서부대로주유소,60,23,262,26,19,0
115,싼2주유소 주식회사,35,18,120,19,16,0
116,지에스칼텍스(주)글로리주유소,92,18,236,48,41,0
117,지에스칼텍스(주)고랑주유소,13,14,36,8,3,0
118,거북이주유소 ㈜기센에너지 전주지점,10,12,36,8,3,0
119,현대오일뱅크(주)직영 한일주유소,29,13,166,18,31,0
120,상리주유소,51,25,252,23,20,0
121,기린봉주유소,0,0,0,0,4,0
122,(유)그린피앤엘 시온주유소,121,15,553,49,69,0
123,대학로self주유소,109,13,583,34,24,0
124,예스주유소,50,11,150,26,26,0
125,비사벌주유소,67,20,251,30,40,0
126,서림주유소,47,19,171,23,29,0
127,(유)도원플러스주유소,41,20,184,15,16,0
128,(유)오송스마트주유소,42,20,183,15,16,0
129,대림싼주유소,121,18,562,47,68,0
