,주유소명,버정거리총합,상호개수,교통사고건수,보호구역개수,화재발생건수,총 가중치,주소,위도,경도
0,직영충전소,2,1,1,5,1,1.604,전북 전주시 덕진구  혁신로 360번지,35.864542,127.0694015
1,(유)삼영에너지,5,5,5,5,5,5,전북 전주시 완산구 쑥고개로 11 (용복동),35.7908099,127.0688591
2,(유)푸른기업충전소,1,4,1,1,1,1.105,전북 전주시 완산구  모악로 4483 (석구동),35.7864603,127.1288413
3,㈜진성에너지 색장충전소,5,5,4,1,5,4.204,전북 전주시 완산구 춘향로 4900 (색장동),35.7850864,127.1952794
4,전주유성LPG충전소,5,5,4,5,5,4.74,전북 전주시 완산구  춘향로 4981,35.7868343,127.1938907
5,한일충전소,2,5,1,4,1,1.61,전북 전주시 완산구 콩쥐팥쥐로 1695 (효자동3가),35.8222348,127.0843408
6,전주오렌지충전소,1,2,1,5,4,3.08,전북 전주시 덕진구 온고을로 523,35.8537666,127.072686
7,(유)동유산업 상림충전소,2,5,1,5,1,1.744,전북 전주시 완산구 콩쥐팥쥐로 1586,35.8247227,127.0729819
8,경기장LPG충전소,2,2,1,5,4,3.148,전북 전주시 덕진구 원반월길 106 (장동),35.8645597,127.0616682
9,서곡가스충전소,1,4,1,1,1,1.105,전북 전주시 완산구 온고을로 192 (효자동3가),35.8381614,127.1040332
10,SK행복충전 소망가스충전소,5,5,3,5,1,2.468,전북 전주시 완산구 춘향로 5271,35.8002397,127.1718967
11,하은충전소,1,5,1,1,2,1.643,전북 전주시 완산구 쑥고개로 181 (삼천동 3가),35.7991996,127.0960576
12,(주)반디이원 전주점,1,1,1,1,1,1,전북 전주시 완산구 쑥고개로 330 (효자동2가),35.801944,127.1018201
13,(유)일진LPG충전소,1,5,1,4,2,2.045,전북 전주시 완산구 우림로 1084 (중인동),35.7830064,127.1073603
14,전주평화LPG충전소,1,5,1,2,1,1.274,전북 전주시 완산구 모악로 4601,35.7809141,127.12584
15,대광LPG충전소,5,5,4,1,1,2.192,전북 전주시 완산구 춘향로 4881,35.7786857,127.1982269
16,SK행복충전 길상LPG충전소,5,5,1,5,5,3.96,전북 전주시 덕진구 삼례로 115 (반월동),35.8879766,127.0767264
17,SK행복충전 고랑엘피지충전소,1,5,4,1,5,3.932,전북 전주시 덕진구 삼례로 168,35.8929623,127.0773985
