학교명,주소,위도,경도
경상고등학교,경상남도 창원시 의창구 금강로379번길 46. 경상고등학교 (소계동.경상고등학교),35.260853,128.5996445
마산가포고등학교,경상남도 창원시 마산합포구 가포로 262(가포동. 마산가포고등학교),35.1673007,128.5713668
마산고등학교,경상남도 창원시 마산합포구 심온길 33(완월동. 마산고등학교),35.2003482,128.5617446
마산용마고등학교,경상남도 창원시 마산합포구 허당로 51(산호동. 마산용마고등학교),35.2117361,128.581909
마산구암고등학교,경상남도 창원시 마산회원구 팔용로 220(구암동),35.2467216,128.5968516
마산내서여자고등학교,경상남도 창원시 마산회원구 내서읍 삼풍로 133. 마산내서여자고등학교 (내서읍),35.2370095,128.5029991
마산여자고등학교,경상남도 창원시 마산합포구 고운로 157(완월동.마산여자고등학교),35.1956186,128.5611894
진해고등학교,경상남도 창원시 진해구 여좌로 100(여좌동. 진해고등학교),35.1610225,128.6646126
진해여자고등학교,경상남도 창원시 진해구 여좌남로 23(여좌동.진해여자고등학교),35.1562718,128.6581534
창원남산고등학교,경상남도 창원시 성산구 가음로92번길 34(가음동.창원남산고등학교),35.2035861,128.7006319
창원명지여자고등학교,경상남도 창원시 의창구 명지로109번길 54(명서동. 명지여자고등학교),35.2523714,128.6494294
창원봉림고등학교,경상남도 창원시 의창구 창이대로333번길 39(봉곡동. 창원봉림고등학교),35.2480946,128.6759548
창원사파고등학교,경상남도 창원시 성산구 창이대로719번길 26. 창원사파고등학교 (사파동),35.2210174,128.7042388
창원신월고등학교,경상남도 창원시 의창구 신월로 66(신월동. 창원신월고등학교),35.2262364,128.693676
창원여자고등학교,경상남도 창원시 성산구 두대로 153(중앙동),35.2205596,128.6738796
창원용호고등학교,경상남도 창원시 의창구 용호로 29(용호동. 창원용호고등학교),35.2331473,128.6767028
창원중앙고등학교,경상남도 창원시 의창구 용호로 16(용호동),35.2310185,128.6772894
창원중앙여자고등학교,경상남도 창원시 성산구 단정로 121(상남동),35.2148195,128.6917643
웅천고등학교,경상남도 창원시 진해구 웅천중로 71(성내동. 웅천고등학교),35.1125009,128.7491461
창원명곡고등학교,경상남도 창원시 의창구 서곡길25번길 16. 창원명곡고등학교 (명곡동),35.2545861,128.6491105
창원성민여자고등학교,경상남도 창원시 의창구 팔용로 481(팔용동),35.2588367,128.6153659
태봉고등학교,경상남도 창원시 마산합포구 진동면 태봉1길 85-32. 태봉고등학교,35.1477609,128.5094674
합포고등학교,경상남도 창원시 마산합포구 무학로 458(교방동. 합포고등학교),35.2094213,128.5642265
마산제일고등학교,경상남도 창원시 마산회원구 내서읍 함마대로 2610. 마산제일고등학교 (내서읍),35.2614788,128.5053038
마산제일여자고등학교,경상남도 창원시 마산합포구 고운로 65(문화동.마산제일여자중고등학교),35.1883997,128.5568809
