조사서번호,시도,시군구,읍면동,주소,위도,경도
'170103010226706,경상남도,창원시 마산합포구,월영동,경상남도 창원시 마산합포구 월영동,35.1792119,128.5576901
'170101204245220,경상남도,창원시 마산합포구,해운동,경상남도 창원시 마산합포구 해운동,35.1792119,128.5576901
'170102165952168,경상남도,창원시 의창구,대산면,경상남도 창원시 의창구 대산면,35.1792119,128.5576901
'170104002214852,경상남도,창원시 의창구,봉곡동,경상남도 창원시 의창구 봉곡동,35.1792119,128.5576901
'170104152943474,경상남도,창원시 성산구,웅남동,경상남도 창원시 성산구 웅남동,35.1792119,128.5576901
'170105044617171,경상남도,창원시 의창구,용호동,경상남도 창원시 의창구 용호동,35.1792119,128.5576901
'170106034402668,경상남도,창원시 마산합포구,덕동동,경상남도 창원시 마산합포구 덕동동,35.1792119,128.5576901
'170107183611098,경상남도,창원시 마산회원구,회원동,경상남도 창원시 마산회원구 회원동,35.1792119,128.5576901
'170108215511582,경상남도,창원시 의창구,북면,경상남도 창원시 의창구 북면,35.1792119,128.5576901
'170109161152218,경상남도,창원시 마산회원구,내서읍,경상남도 창원시 마산회원구 내서읍,35.1798365,128.5652213
'170111170504952,경상남도,창원시 의창구,사림동,경상남도 창원시 의창구 사림동,35.1798365,128.5652213
'170111223341725,경상남도,창원시 성산구,남산동,경상남도 창원시 성산구 남산동,35.1798365,128.5652213
'170112082258823,경상남도,창원시 성산구,양곡동,경상남도 창원시 성산구 양곡동,35.1798365,128.5652213
'170112215825435,경상남도,창원시 성산구,반림동,경상남도 창원시 성산구 반림동,35.1798365,128.5652213
'170114215756444,경상남도,창원시 마산합포구,진북면,경상남도 창원시 마산합포구 진북면,35.1798365,128.5652213
'170113121205402,경상남도,창원시 의창구,대원동,경상남도 창원시 의창구 대원동,35.1798365,128.5652213
'170114160234001,경상남도,창원시 의창구,소계동,경상남도 창원시 의창구 소계동,35.1798365,128.5652213
'170117170201762,경상남도,창원시 성산구,성주동,경상남도 창원시 성산구 성주동,35.1798365,128.5652213
'170115104215687,경상남도,창원시 의창구,대산면,경상남도 창원시 의창구 대산면,35.3354015,128.7082241
'170115214523258,경상남도,창원시 마산합포구,진전면,경상남도 창원시 마산합포구 진전면,35.3354015,128.7082241
'170115213556338,경상남도,창원시 마산합포구,진동면,경상남도 창원시 마산합포구 진동면,35.3354015,128.7082241
'170116030002168,경상남도,창원시 의창구,동읍,경상남도 창원시 의창구 동읍,35.3354015,128.7082241
'170116082940226,경상남도,창원시 의창구,동읍,경상남도 창원시 의창구 동읍,35.3354015,128.7082241
'170116092208241,경상남도,창원시 의창구,신월동,경상남도 창원시 의창구 신월동,35.3354015,128.7082241
'170117110620486,경상남도,창원시 마산합포구,진전면,경상남도 창원시 마산합포구 진전면,35.3354015,128.7082241
'170117162540806,경상남도,창원시 의창구,팔용동,경상남도 창원시 의창구 팔용동,35.3354015,128.7082241
'170118144448738,경상남도,창원시 성산구,양곡동,경상남도 창원시 성산구 양곡동,35.3354015,128.7082241
'170119144830153,경상남도,창원시 진해구,마천동,경상남도 창원시 진해구 마천동,35.3354015,128.7082241
'170119164517716,경상남도,창원시 진해구,이동,경상남도 창원시 진해구 이동,35.3354015,128.7082241
'170120003054602,경상남도,창원시 성산구,가음동,경상남도 창원시 성산구 가음동,35.3354015,128.7082241
'170120061225278,경상남도,창원시 진해구,태평동,경상남도 창원시 진해구 태평동,35.3354015,128.7082241
'170121095803801,경상남도,창원시 마산합포구,구산면,경상남도 창원시 마산합포구 구산면,35.3354015,128.7082241
'170120102528703,경상남도,창원시 진해구,인사동,경상남도 창원시 진해구 인사동,35.3354015,128.7082241
'170120170255919,경상남도,창원시 성산구,사파동,경상남도 창원시 성산구 사파동,35.3354015,128.7082241
'170120222144749,경상남도,창원시 의창구,소답동,경상남도 창원시 의창구 소답동,35.3354015,128.7082241
'170121181740185,경상남도,창원시 마산합포구,진동면,경상남도 창원시 마산합포구 진동면,35.3354015,128.7082241
'170122180524091,경상남도,창원시 의창구,봉곡동,경상남도 창원시 의창구 봉곡동,35.3354015,128.7082241
'170124170446583,경상남도,창원시 성산구,남산동,경상남도 창원시 성산구 남산동,35.3354015,128.7082241
'170125144228083,경상남도,창원시 의창구,사림동,경상남도 창원시 의창구 사림동,35.3354015,128.7082241
'170125192256130,경상남도,창원시 진해구,장천동,경상남도 창원시 진해구 장천동,35.3354015,128.7082241
'170126224346442,경상남도,창원시 진해구,인사동,경상남도 창원시 진해구 인사동,35.3354015,128.7082241
'170127153139800,경상남도,창원시 진해구,남양동,경상남도 창원시 진해구 남양동,35.3354015,128.7082241
'170127233352437,경상남도,창원시 마산합포구,교원동,경상남도 창원시 마산합포구 교원동,35.3354015,128.7082241
'170127204316974,경상남도,창원시 의창구,용호동,경상남도 창원시 의창구 용호동,35.2457465,128.6564269
'170128225250266,경상남도,창원시 의창구,대산면,경상남도 창원시 의창구 대산면,35.2457465,128.6564269
'170129110210569,경상남도,창원시 진해구,이동,경상남도 창원시 진해구 이동,35.2457465,128.6564269
'170129203945461,경상남도,창원시 진해구,석동,경상남도 창원시 진해구 석동,35.2457465,128.6564269
'170206221716270,경상남도,창원시 의창구,동읍,경상남도 창원시 의창구 동읍,35.2457465,128.6564269
'170206224758759,경상남도,창원시 의창구,북면,경상남도 창원시 의창구 북면,35.2457465,128.6564269
'170206230012314,경상남도,창원시 의창구,동읍,경상남도 창원시 의창구 동읍,35.2457465,128.6564269
'170202203932022,경상남도,창원시 의창구,팔용동,경상남도 창원시 의창구 팔용동,35.2457465,128.6564269
'170202204239083,경상남도,창원시 의창구,팔용동,경상남도 창원시 의창구 팔용동,35.2457465,128.6564269
'170202175041274,경상남도,창원시 마산회원구,양덕동,경상남도 창원시 마산회원구 양덕동,35.2457465,128.6564269
'170203092432270,경상남도,창원시 의창구,동읍,경상남도 창원시 의창구 동읍,35.2457465,128.6564269
'170203173141210,경상남도,창원시 성산구,남산동,경상남도 창원시 성산구 남산동,35.1661315,128.615407
'170204004308104,경상남도,창원시 성산구,중앙동,경상남도 창원시 성산구 중앙동,35.1661315,128.615407
'170204175602585,경상남도,창원시 성산구,상남동,경상남도 창원시 성산구 상남동,35.1661315,128.615407
'170205201708973,경상남도,창원시 진해구,용원동,경상남도 창원시 진해구 용원동,35.2366394,128.6838047
'170207205057814,경상남도,창원시 마산회원구,내서읍,경상남도 창원시 마산회원구 내서읍,35.2366394,128.6838047
'170206050731677,경상남도,창원시 마산회원구,내서읍,경상남도 창원시 마산회원구 내서읍,35.2366394,128.6838047
'170207172058040,경상남도,창원시 마산합포구,진동면,경상남도 창원시 마산합포구 진동면,35.2366394,128.6838047
'170207002142998,경상남도,창원시 진해구,안골동,경상남도 창원시 진해구 안골동,35.2366394,128.6838047
'170207003036034,경상남도,창원시 진해구,석동,경상남도 창원시 진해구 석동,35.2366394,128.6838047
'170207153232768,경상남도,창원시 의창구,북면,경상남도 창원시 의창구 북면,35.2366394,128.6838047
'170207172420113,경상남도,창원시 진해구,자은동,경상남도 창원시 진해구 자은동,35.2366394,128.6838047
'170208211442393,경상남도,창원시 의창구,팔용동,경상남도 창원시 의창구 팔용동,35.1437535,128.5819835
'170209095525284,경상남도,창원시 의창구,대산면,경상남도 창원시 의창구 대산면,35.1437535,128.5819835
'170210072540339,경상남도,창원시 마산합포구,해운동,경상남도 창원시 마산합포구 해운동,35.2211206,128.563554
'170210074903957,경상남도,창원시 마산합포구,진북면,경상남도 창원시 마산합포구 진북면,35.2211206,128.563554
'170214004805937,경상남도,창원시 마산합포구,진동면,경상남도 창원시 마산합포구 진동면,35.2211206,128.563554
'170214012913820,경상남도,창원시 마산합포구,월영동,경상남도 창원시 마산합포구 월영동,35.2211206,128.563554
'170211080739506,경상남도,창원시 성산구,귀곡동,경상남도 창원시 성산구 귀곡동,35.2211206,128.563554
'170211145137408,경상남도,창원시 의창구,대원동,경상남도 창원시 의창구 대원동,35.2211206,128.563554
'170213160728998,경상남도,창원시 마산합포구,예곡동,경상남도 창원시 마산합포구 예곡동,35.2211206,128.563554
'170212164626303,경상남도,창원시 의창구,북면,경상남도 창원시 의창구 북면,35.2211206,128.563554
'170212135838089,경상남도,창원시 진해구,장천동,경상남도 창원시 진해구 장천동,35.2211206,128.563554
'170213082131937,경상남도,창원시 성산구,남양동,경상남도 창원시 성산구 남양동,35.2211206,128.563554
'170216013217803,경상남도,창원시 마산회원구,양덕동,경상남도 창원시 마산회원구 양덕동,35.3477601,128.6070605
'170215073741590,경상남도,창원시 성산구,상남동,경상남도 창원시 성산구 상남동,35.3477601,128.6070605
'170215083710651,경상남도,창원시 마산합포구,완월동,경상남도 창원시 마산합포구 완월동,35.3477601,128.6070605
'170217001256441,경상남도,창원시 성산구,천선동,경상남도 창원시 성산구 천선동,35.3477601,128.6070605
'170217002559875,경상남도,창원시 의창구,대산면,경상남도 창원시 의창구 대산면,35.3477601,128.6070605
'170217210342496,경상남도,창원시 성산구,성주동,경상남도 창원시 성산구 성주동,35.3477601,128.6070605
'170216160327465,경상남도,창원시 진해구,남문동,경상남도 창원시 진해구 남문동,35.3477601,128.6070605
'170217041550225,경상남도,창원시 마산회원구,회원동,경상남도 창원시 마산회원구 회원동,35.3477601,128.6070605
'170217190355984,경상남도,창원시 진해구,용원동,경상남도 창원시 진해구 용원동,35.3477601,128.6070605
'170218031200662,경상남도,창원시 마산합포구,진전면,경상남도 창원시 마산합포구 진전면,35.3477601,128.6070605
'170218162142629,경상남도,창원시 의창구,동읍,경상남도 창원시 의창구 동읍,35.3477601,128.6070605
'170218192450588,경상남도,창원시 성산구,상남동,경상남도 창원시 성산구 상남동,35.3477601,128.6070605
'170218230943980,경상남도,창원시 진해구,석동,경상남도 창원시 진해구 석동,35.3477601,128.6070605
'170219004142106,경상남도,창원시 의창구,동읍,경상남도 창원시 의창구 동읍,35.3477601,128.6070605
'170219004916757,경상남도,창원시 성산구,상남동,경상남도 창원시 성산구 상남동,35.3477601,128.6070605
'170219064715333,경상남도,창원시 진해구,남양동,경상남도 창원시 진해구 남양동,35.3477601,128.6070605
'170219171744826,경상남도,창원시 의창구,대산면,경상남도 창원시 의창구 대산면,35.3477601,128.6070605
'170220032039737,경상남도,창원시 마산합포구,가포동,경상남도 창원시 마산합포구 가포동,35.3477601,128.6070605
'170220162551129,경상남도,창원시 마산합포구,산호동,경상남도 창원시 마산합포구 산호동,35.3477601,128.6070605
'170221235709807,경상남도,창원시 진해구,남양동,경상남도 창원시 진해구 남양동,35.3477601,128.6070605
'170222105702998,경상남도,창원시 진해구,남양동,경상남도 창원시 진해구 남양동,35.3477601,128.6070605
'170223084006624,경상남도,창원시 마산합포구,진전면,경상남도 창원시 마산합포구 진전면,35.3477601,128.6070605
'170224011005175,경상남도,창원시 의창구,팔용동,경상남도 창원시 의창구 팔용동,35.3477601,128.6070605
'170224013436831,경상남도,창원시 성산구,내동,경상남도 창원시 성산구 내동,35.3477601,128.6070605
'170224022916298,경상남도,창원시 진해구,이동,경상남도 창원시 진해구 이동,35.3477601,128.6070605
'170224111407121,경상남도,창원시 의창구,팔용동,경상남도 창원시 의창구 팔용동,35.3477601,128.6070605
'170224165234716,경상남도,창원시 의창구,소답동,경상남도 창원시 의창구 소답동,35.3477601,128.6070605
'170224221731523,경상남도,창원시 마산회원구,양덕동,경상남도 창원시 마산회원구 양덕동,35.3477601,128.6070605
'170228111357502,경상남도,창원시 마산회원구,봉암동,경상남도 창원시 마산회원구 봉암동,35.2467652,128.5076437
'170227211050390,경상남도,창원시 의창구,용동,경상남도 창원시 의창구 용동,35.2467652,128.5076437
'170320134643609,경상남도,창원시 진해구,태평동,경상남도 창원시 진해구 태평동,35.2467652,128.5076437
'170301164935546,경상남도,창원시 마산회원구,내서읍,경상남도 창원시 마산회원구 내서읍,35.2467652,128.5076437
'170301165550271,경상남도,창원시 마산합포구,해운동,경상남도 창원시 마산합포구 해운동,35.2467652,128.5076437
'170301170459521,경상남도,창원시 의창구,대산면,경상남도 창원시 의창구 대산면,35.2467652,128.5076437
'170306120455687,경상남도,창원시 마산회원구,내서읍,경상남도 창원시 마산회원구 내서읍,35.2467652,128.5076437
'170320135433444,경상남도,창원시 진해구,남양동,경상남도 창원시 진해구 남양동,35.2467652,128.5076437
'170303152653365,경상남도,창원시 진해구,서중동,경상남도 창원시 진해구 서중동,35.2467652,128.5076437
'170305124816825,경상남도,창원시 의창구,북면,경상남도 창원시 의창구 북면,35.2467652,128.5076437
'170306012028408,경상남도,창원시 의창구,도계동,경상남도 창원시 의창구 도계동,35.2467652,128.5076437
'170307074031500,경상남도,창원시 의창구,동읍,경상남도 창원시 의창구 동읍,35.2467652,128.5076437
'170308135219301,경상남도,창원시 마산회원구,합성동,경상남도 창원시 마산회원구 합성동,35.2467652,128.5076437
'170307205111464,경상남도,창원시 마산합포구,진북면,경상남도 창원시 마산합포구 진북면,35.2467652,128.5076437
'170308005751169,경상남도,창원시 의창구,팔용동,경상남도 창원시 의창구 팔용동,35.2467652,128.5076437
'170310152628389,경상남도,창원시 마산합포구,진전면,경상남도 창원시 마산합포구 진전면,35.2467652,128.5076437
'170309171712874,경상남도,창원시 의창구,북면,경상남도 창원시 의창구 북면,35.2467652,128.5076437
'170310190421065,경상남도,창원시 마산합포구,덕동동,경상남도 창원시 마산합포구 덕동동,35.2467652,128.5076437
'170310191631909,경상남도,창원시 마산합포구,평화동,경상남도 창원시 마산합포구 평화동,35.2467652,128.5076437
'170320135853989,경상남도,창원시 진해구,남양동,경상남도 창원시 진해구 남양동,35.2467652,128.5076437
'170311024615735,경상남도,창원시 성산구,웅남동,경상남도 창원시 성산구 웅남동,35.2467652,128.5076437
'170311125437289,경상남도,창원시 의창구,봉곡동,경상남도 창원시 의창구 봉곡동,35.2467652,128.5076437
'170320140816463,경상남도,창원시 진해구,마천동,경상남도 창원시 진해구 마천동,35.2467652,128.5076437
'170312092458623,경상남도,창원시 마산합포구,해운동,경상남도 창원시 마산합포구 해운동,35.2467652,128.5076437
'170320141348915,경상남도,창원시 진해구,경화동,경상남도 창원시 진해구 경화동,35.2467652,128.5076437
'170312193856811,경상남도,창원시 의창구,북면,경상남도 창원시 의창구 북면,35.2467652,128.5076437
'170313094512429,경상남도,창원시 마산회원구,회원동,경상남도 창원시 마산회원구 회원동,35.2467652,128.5076437
'170313095333392,경상남도,창원시 마산합포구,진전면,경상남도 창원시 마산합포구 진전면,35.2467652,128.5076437
'170313101958986,경상남도,창원시 마산회원구,합성동,경상남도 창원시 마산회원구 합성동,35.2458761,128.6819538
'170313200837251,경상남도,창원시 마산합포구,장군동2가,경상남도 창원시 마산합포구 장군동2가,35.2458761,128.6819538
'170313230245150,경상남도,창원시 의창구,동읍,경상남도 창원시 의창구 동읍,35.2458761,128.6819538
'170314140413160,경상남도,창원시 마산합포구,오동동,경상남도 창원시 마산합포구 오동동,35.2458761,128.6819538
