시군구,도로명,주소,사고건수,사망자수,중상자수,경상자수,부상신고자수,위도,경도
경남 창원시,원이대로579번길,경남 창원시 원이대로579번길,1,0,1,0,0,35.2298444,128.6800008
경남 창원시,중앙대로161번길,경남 창원시 중앙대로161번길,1,0,0,1,0,35.4606,128.2132
경남 창원시,외동반림로248번길,경남 창원시 외동반림로248번길,1,0,1,0,0,35.2379036,128.6813761
경남 창원시,중앙대로185번길,경남 창원시 중앙대로185번길,2,0,1,1,0,35.2601092,128.6216444
경남 창원시,용호로,경남 창원시 용호로,2,0,1,1,0,35.23476,128.6800802
경남 창원시,두대로,경남 창원시 두대로,4,0,0,4,0,35.2323992,128.6505075
경남 창원시,팔용로443번길,경남 창원시 팔용로443번길,1,0,0,1,0,35.2568851,128.6122356
경남 창원시,퇴촌로,경남 창원시 퇴촌로,1,0,0,2,0,35.2433224,128.6933483
경남 창원시,차상로30번길,경남 창원시 차상로30번길,1,0,1,0,0,35.228588,128.6356323
경남 창원시,의안로44번길,경남 창원시 의안로44번길,1,0,1,0,0,35.265281,128.6265633
경남 창원시,태복산로15번길,경남 창원시 태복산로15번길,1,0,0,3,0,35.2552854,128.6388946
경남 창원시,원이대로174번길,경남 창원시 원이대로174번길,1,0,0,0,1,35.2479446,128.6405537
경남 창원시,용지로153번길,경남 창원시 용지로153번길,1,0,0,2,0,35.2297876,128.680041
경남 창원시,녹산산업대로,경남 창원시 녹산산업대로,1,0,1,0,0,35.0918859,128.8314752
경남 창원시,읍성로17번길,경남 창원시 읍성로17번길,1,0,0,1,0,35.2660462,128.6198382
경남 창원시,의안로,경남 창원시 의안로,1,0,0,1,0,35.2649856,128.6239051
경남 창원시,천주로1번길,경남 창원시 천주로1번길,1,0,1,0,0,35.2626283,128.6176278
경남 창원시,사화로17번길,경남 창원시 사화로17번길,3,0,1,6,0,35.2578544,128.6104888
경남 창원시,지귀로12번길,경남 창원시 지귀로12번길,2,0,0,3,0,35.2434683,128.6515107
경남 창원시,창이대로205번길,경남 창원시 창이대로205번길,5,0,2,3,1,35.246319,128.6596577
경남 창원시,태복산로289번길,경남 창원시 태복산로289번길,1,0,0,1,0,35.2633453,128.6296126
경남 창원시,무역로581번길,경남 창원시 무역로581번길,1,0,1,1,0,35.2318159,128.63816
경남 창원시,원이대로82번길,경남 창원시 원이대로82번길,2,0,0,3,0,35.2550272,128.6356288
경남 창원시,원이대로56번길,경남 창원시 원이대로56번길,1,0,0,1,0,35.2574395,128.6333651
경남 창원시,창원대로397번길,경남 창원시 창원대로397번길,2,0,0,2,0,35.2355541,128.6427533
경남 창원시,창원대로363번길,경남 창원시 창원대로363번길,2,0,0,2,0,35.2371925,128.6410538
