지역,상호,타입,주소,위도,경도
경상남도,SK행복충전 불모가스충전소,충전소,경남 창원시 성산구 창원대로 1310 (불모산동),35.1916328,128.7364694
경상남도,동부2,충전소,경남 창원시 진해구 진해대로 732 (석동),35.162215,128.7018743
경상남도,(유)공단가스산업,충전소,경남 창원시 마산회원구 봉암공단8길 2,35.2145426,128.5998606
경상남도,광신직영(두대충전소),충전소,경남 창원시 의창구 남면로 3 (대원동),35.2316509,128.6443429
경상남도,SK행복충전 유남충전소(주)배성에너지,충전소,경남 창원시 의창구 창원대로 314 (팔용동),35.2380624,128.6337945
경상남도,진전가스충전소,충전소,경남 창원시 마산합포구 진전면 남해안대로 4480,35.0997125,128.4141767
경상남도,광신직영(굴현충전소),충전소,경남 창원시 의창구 정렬대로 110,35.2630572,128.6091069
경상남도,마금산LPG충전소,충전소,경남 창원시 의창구 정렬대로 159 (동정동),35.2670404,128.6110865
경상남도,SK창성가스(주)배성 SK행복충전,충전소,경남 창원시 성산구 정동로162번길 34 (남산동),35.202941,128.69424
경상남도,영진가스(주),충전소,경남 창원시 진해구 충장로 483 (덕산동),35.145441,128.701233
경상남도,SK행복충전 경양LPG충전소,충전소,경남 창원시 진해구 태백로 8 (경화동),35.1531586,128.6765546
경상남도,새창원충전소,충전소,경남 창원시 창원대로 18번길6,35.2538999,128.6062175
경상남도,(주)창원충전소,충전소,경남 창원시 의창구 차상로 183 (팔용동),35.2407837,128.6339684
경상남도,SK행복충전 북창원LPG충전소,충전소,경남 창원시 의창구 북면 천주로 821,35.3265985,128.6017816
경상남도,SK행복충전 신항LPG충전소,충전소,경남 창원시 진해구 죽곡동 262,35.1144829,128.7212997
경상남도,SK행복충전 창원개인택시지부충전소,충전소,경남 창원시 의창구 사화로 286 (팔용동),35.2423725,128.63405
경상남도,조은LPG충전소,충전소,경남 창원시 의창구 사화로 248 (팔용동),35.2443525,128.6299746
경상남도,(주)도일충전소,충전소,경남 창원시 마산회원구 양덕로 58,35.2255658,128.5899989
경상남도,금성가스,충전소,경남 창원시 마산회원구 봉양로 142 (봉암동),35.2180211,128.6022247
경상남도,경남충전소(주)배성 SK행복충전,충전소,경남 창원시 마산회원구 봉양로 86 (봉암동),35.2203092,128.5963385
경상남도,마산LPG충전소 동방도시가스,충전소,경남 창원시 마산회원구 팔용로 113 (합성동),35.239511,128.5888045
경상남도,극동충전소,충전소,경남 창원시 마산회원구 3.15대로 612,35.2206349,128.5795296
경상남도,삼화가스,충전소,경남 창원시 마산합포구 밤밭고개로 243 (예곡동),35.1635671,128.5533399
경상남도,그린가스텍주식회사,충전소,경남 창원시 마산합포구 진동면 남해안대로 5422,35.1440713,128.5101241
경상남도,SK행복충전 우산LPG충전소,충전소,경남 창원시 마산합포구 현동로 12,35.1490894,128.5588344
경상남도,SK행복충전 경서에너지충전소,충전소,경남 창원시 마산회원구 내서읍 광려천남로 125,35.2415252,128.5070754
경상남도,SK행복충전 석전충전소,충전소,경남 창원시 마산회원구 내서읍 중리공단로5길 1,35.2475223,128.5156012
경상남도,(주)경서에너지 대천충전소,충전소,경남 창원시 마산회원구  북성로 442 (두척동),35.236643,128.5496498
경상남도,동부충전소,충전소,경남 창원시 마산회원구 3.15대로 608 (석전동),35.2295325,128.5703324
경상남도,SK행복충전 태화충전소,충전소,경남 창원시 마산회원구 내서읍 경남대로 503,35.2310517,128.5045003
경상남도,sk신포충전소,충전소,경남 창원시 마산합포구 해안대로 252,35.1967487,128.5707552
경상남도,(주)동구에너지,충전소,경남 창원시 진해구 진해대로 2180 (두동),35.1243486,128.807117
경상남도,SK행복충전 마산개인택시복지충전소,충전소,경남 창원시 마산합포구 삼호로 9-1 (산호동),35.2205443,128.5867858
경상남도,SK행복충전 용원충전소,충전소,경남 창원시 진해구 진해대로 2128 (두동),35.1243486,128.807117
경상남도,진해LPG충전소,충전소,경남 창원시 진해구 진해대로 2513 (용원동),35.1091336,128.817681
경상남도,광신직영(태광셀프),주유소,경남 창원시 의창구 서상로 14,35.2622456,128.6148751
경상남도,동부3,주유소,경남 창원시 성산구 마디미로 73 (상남동),35.2191229,128.682957
경상남도,태진주유소,주유소,경남 창원시 마산합포구 진전면 남해안대로 4434,35.0997692,128.4089022
경상남도,곰돌이주유소,주유소,경남 창원시 마산합포구 3.15대로 172 (중앙동2가),35.1956114,128.5677718
경상남도,울트라주유소,주유소,경남 창원시 마산합포구 무학로 398 (자산동),35.2055979,128.5654666
경상남도,성경주유소,주유소,경남 창원시 의창구 사화로10번길 33 (팔용동),35.2546891,128.6068377
경상남도,대림주유소,주유소,경남 창원시 의창구 팔용로 501 (팔용동),35.2602415,128.6172272
경상남도,역전주유소,주유소,경남 창원시 마산회원구 3.15대로 657 (석전동),35.2295325,128.5703324
경상남도,동부셀프주유소,주유소,경남 창원시 마산회원구  팔용로 96 (합성동),35.2378465,128.5894572
경상남도,엔시네트웍스㈜ 의창주유소,주유소,경남 창원시 의창구 천주로 14 (서상동),35.263399,128.618492
경상남도,도경셀프주유소,주유소,경남 창원시 의창구 천주로56번길 1,35.266837,128.6163573
경상남도,광신석유(주)직영 무학주유소,주유소,경남 창원시 마산합포구 무학로 288 (완월동),35.1959705,128.5574591
경상남도,북창원I.C주유소,주유소,경남 창원시 의창구 북면 정렬대로 410,35.2874509,128.6119874
경상남도,미창주유소,주유소,경남 창원시 의창구 북면 구룡로 15-66,35.2880711,128.6109136
경상남도,(주)천주산주유소,주유소,경남 창원시 의창구 정렬대로 119,35.2639732,128.6088983
경상남도,감천주유소,주유소,경남 창원시 마산회원구 내서읍 경남대로 509,35.2310517,128.5045003
경상남도,하늘주유소,주유소,경남 창원시 마산회원구 북성로 373,35.2337938,128.556708
경상남도,북마산주유소,주유소,경남 창원시 마산회원구 무학로 617,35.2216164,128.5641604
경상남도,(주)신마산주유소,주유소,경남 창원시 마산합포구 밤밭고개로 390(월영동),35.1762081,128.5568081
경상남도,(주)경상석유마창주유소,주유소,경남 창원시 마산회원구 팔용로 107 (합성동),35.2387205,128.5887966
경상남도,두척주유소,주유소,경남 창원시 마산회원구 북성로 448 (두척동),35.2367047,128.5493514
경상남도,동마산IC주유소,주유소,경남 창원시 마산회원구 팔용로 287,35.2492192,128.6023554
경상남도,경남에너지판매주유소,주유소,경남 창원시 마산합포구 진북면 진북산업로 457,35.1543494,128.4755558
경상남도,동부1,주유소,경남 창원시 진해구 진해대로 855 (석동),35.162215,128.7018743
경상남도,동부2,주유소,경남 창원시 진해구 진해대로 732,35.1279791,128.7449228
경상남도,장복주유소,주유소,경남 창원시 진해구 진해대로 650 (경화동),35.15646,128.6846614
경상남도,보문self주유소,주유소,경남 창원시 마산회원구 삼호로 267 (회성동),35.2320133,128.5654947
경상남도,광신석유(주)직영 구암주유소,주유소,경남 창원시 마산회원구 3.15대로 882,35.2206349,128.5795296
경상남도,대양석유(주)아시아주유소,주유소,경남 창원시 마산회원구 북성로 443 (두척동),35.2359424,128.5494857
경상남도,두바이주유소,주유소,경남 창원시 마산회원구 봉양로 151 (봉암동),35.2184503,128.60311
경상남도,국제주유소,주유소,경남 창원시 마산회원구 북성로 163 (회원동),35.221846,128.570799
경상남도,금성주유소,주유소,경남 창원시 마산합포구 3.15대로 89,35.1969107,128.5678853
경상남도,봉암다리주유소,주유소,경남 창원시 마산회원구 봉양로 270 (봉암동),35.2142352,128.6151401
경상남도,늘푸른주유소,주유소,경남 창원시 성산구 진해대로 52,35.1861786,128.6378021
경상남도,상남셀프주유소,주유소,경남 창원시 성산구 마디미로 74번길 14,35.2185307,128.68094
경상남도,적석산주유소,주유소,경남 창원시 마산합포구 진전면 남해안대로 4472,35.0997867,128.4130375
경상남도,금창주유소,주유소,경남 창원시 진해구 진해대로 390,35.1279791,128.7449228
경상남도,(주)동백에너비스 아바타주유소,주유소,경남 창원시 마산합포구 해안대로 131 (월남동1가),35.1862699,128.564085
경상남도,두바이주유소,주유소,경남 창원시 마산합포구 진동면 오산3길 125,35.144538,128.5087064
경상남도,새천년주유소,주유소,경남 창원시 마산합포구 진동면 남해안대로 5422,35.1440713,128.5101241
경상남도,마산주유소(SK),주유소,경남 창원시 마산회원구 북성로 522,35.2390167,128.5417759
