관리번호,행정구역,정류장명,주소,위도,경도,
100201,동읍,합산,,128.6773869,35.3375815,
100202,동읍,합산,,128.6772907,35.33765692,
100203,동읍,용산입구,,128.6788801,35.33278581,
100204,동읍,용산입구,,128.6787689,35.33273119,
100205,대산면,백양마을,,128.6873494,35.32762224,
100206,대산면,백양마을,,128.6873298,35.32749478,
100207,대산면,신등마을,,128.6950357,35.32286643,
100208,대산면,신등마을,,128.6950207,35.32273381,
100701,대산면,신전,,128.6740062,35.36714414,
100702,대산면,상리,,128.6777968,35.36602048,
100703,대산면,갈전운동장,,128.6809755,35.36653344,
100704,대산면,일동회관,,128.6839839,35.36796378,
100705,대산면,일동회관,,128.6840827,35.3679376,
100706,대산면,일동초등학교,,128.6872062,35.36793344,
100707,대산면,갈전운동장,,128.6804893,35.36643926,
100708,대산면,상리,,128.6778344,35.36609035,
100709,북면,갈전마을,,128.6204405,35.30248347,
100710,북면,갈전마을,,128.6205108,35.30258261,
100711,북면,화산마을,,128.6097774,35.29821091,
100712,북면,화산마을,,128.6098385,35.29813634,
100713,북면,화산마을입구,,128.6069402,35.29928055,
100714,북면,화산마을입구,,128.6070512,35.29914311,
100901,북면,오곡,,128.5786035,35.37519086,
101701,북면,지개리,,128.6140952,35.28648444,
101702,북면,대한마을,,128.6190316,35.28871659,
101703,북면,대한마을,,128.6188743,35.28870253,
101704,북면,한수,,128.6239049,35.29322455,
101705,북면,한수,,128.6238618,35.29336257,
101706,북면,고암마을,,128.6284519,35.29692506,
101707,북면,고암마을,,128.6284036,35.29716073,
101708,북면,승산초등학교,,128.6273768,35.30360223,
101709,북면,승산초등학교,,128.6272136,35.30349628,
101710,북면,승산,,128.6245216,35.3027572,
101711,북면,승산,,128.6246202,35.30286779,
101712,북면,지개리,,128.6140812,35.28660414,
102501,소계동,소계입구,,128.6012452,35.25667221,
102502,소계동,소계입구,,128.6011096,35.25645598,
102503,소계동,소계종점,,128.6020942,35.25822344,
102601,소계동,경상고등학교,,128.5982512,35.25968044,
102602,소계동,소계갓등1길,,128.599756,35.25825416,
103101,북면,내감,,128.5934466,35.3005004,
103102,북면,내감,,128.5933454,35.3005064,
103103,북면,힐스테이트1차,,128.5974387,35.30235358,
103104,북면,감계휴먼빌,,128.5938615,35.30221691,
103105,북면,감계휴먼빌,,128.592914,35.30234189,
103106,북면,천수림아파트,,128.5884201,35.30220878,
103107,북면,덕산아내,,128.5905689,35.30233952,
103108,북면,감계중학교,,128.5865042,35.30050134,
103109,북면,푸르지오아파트,,128.58631,35.30034053,
103110,북면,조동,,128.5888149,35.29619655,
103111,북면,조동,,128.5889645,35.29606579,
103112,북면,중방마을회관,,128.5932506,35.29657037,
103113,북면,중방마을회관,,128.5934365,35.29648455,
103114,북면,힐스테이트1차,,128.5965079,35.30222893,
103115,북면,힐스테이트3차,,128.5878081,35.30233621,
103116,북면,덕산아내,,128.5920454,35.30220558,
103117,북면,천수림아파트정문,,128.5864604,35.30168646,
103118,북면,힐스테이트4차,,128.5862985,35.3016932,
103119,북면,새터교,,128.5962144,35.29619934,
103120,북면,새터교,,128.596167,35.29602423,
103301,동읍,성진1차아파트,,128.7054409,35.27745088,
103302,동읍,성진3차아파트,,128.7061367,35.27514096,
103403,북면,도태,,128.5708132,35.34941347,
103404,북면,도태,,128.5709348,35.3492547,
