,주유소명,버정거리총합,상호개수,교통사고건수,보호구역개수,화재발생건수,총 가중치
0,SK행복충전 불모가스충전소,7,3,0,0,1,0
1,동부2,78,10,172,25,26,0
2,(유)공단가스산업,68,18,127,11,17,0
3,광신직영(두대충전소),86,14,177,17,30,0
4,SK행복충전 유남충전소(주)배성에너지,90,15,203,17,43,0
5,진전가스충전소,26,2,0,2,13,0
6,광신직영(굴현충전소),114,19,195,31,22,0
7,마금산LPG충전소,100,17,184,28,14,0
8,SK창성가스(주)배성 SK행복충전,122,5,181,53,45,0
9,영진가스(주),107,11,282,30,25,0
10,SK행복충전 경양LPG충전소,114,6,200,24,30,0
11,새창원충전소,124,19,211,35,42,0
12,(주)창원충전소,99,15,239,27,34,0
13,SK행복충전 북창원LPG충전소,50,3,30,1,0,0
14,SK행복충전 신항LPG충전소,45,1,17,1,9,0
15,SK행복충전 창원개인택시지부충전소,105,15,241,35,34,0
16,조은LPG충전소,115,15,273,34,36,0
17,(주)도일충전소,116,29,210,35,35,0
18,금성가스,62,13,120,9,17,0
19,경남충전소(주)배성 SK행복충전,86,23,139,22,28,0
20,마산LPG충전소 동방도시가스,93,10,118,31,35,0
21,극동충전소,156,30,311,46,43,0
22,삼화가스,59,5,58,9,20,0
23,그린가스텍주식회사,10,2,0,0,0,0
24,SK행복충전 우산LPG충전소,31,5,6,4,8,0
25,SK행복충전 경서에너지충전소,73,16,38,15,27,0
26,SK행복충전 석전충전소,75,10,35,9,27,0
27,(주)경서에너지 대천충전소,33,8,7,6,6,0
28,동부충전소,113,26,228,35,32,0
29,SK행복충전 태화충전소,51,8,35,13,27,0
30,sk신포충전소,114,17,416,31,30,0
31,(주)동구에너지,19,7,10,1,8,0
32,SK행복충전 마산개인택시복지충전소,131,32,289,34,41,0
33,SK행복충전 용원충전소,19,7,10,1,8,0
34,진해LPG충전소,39,6,112,10,7,0
35,광신직영(태광셀프),116,19,244,32,41,0
36,동부3,116,7,347,54,65,0
37,태진주유소,22,2,0,2,13,0
38,곰돌이주유소,117,17,404,27,31,0
39,울트라주유소,126,19,468,41,28,0
40,성경주유소,127,19,212,35,42,0
41,대림주유소,129,20,256,30,39,0
42,역전주유소,113,26,228,35,32,0
43,동부셀프주유소,98,13,120,31,42,0
44,엔시네트웍스㈜ 의창주유소,115,19,257,25,38,0
45,도경셀프주유소,101,17,196,22,12,0
46,광신석유(주)직영 무학주유소,96,13,373,27,36,0
47,북창원I.C주유소,39,1,0,0,0,0
48,미창주유소,42,1,1,0,0,0
49,(주)천주산주유소,110,19,195,31,22,0
50,감천주유소,51,8,35,13,27,0
51,하늘주유소,54,13,78,17,23,0
52,북마산주유소,95,23,187,36,38,0
53,(주)신마산주유소,84,4,99,14,26,0
54,(주)경상석유마창주유소,97,12,120,31,42,0
55,두척주유소,34,8,7,5,6,0
56,동마산IC주유소,118,18,165,29,34,0
57,경남에너지판매주유소,15,1,0,0,0,0
58,동부1,78,10,172,25,26,0
59,동부2,12,4,145,1,1,0
60,장복주유소,83,9,175,23,27,0
61,보문self주유소,86,20,165,30,32,0
62,광신석유(주)직영 구암주유소,156,30,311,46,43,0
63,대양석유(주)아시아주유소,33,8,7,6,6,0
